book,name,team,opponent,game_date,prop_type,line,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pick_side,pick_edge_bp,pick_prob,pick_odds,bet_flag,kelly_frac,pred_mean,resid_sd_used
fanduel,Bradley Beal,LAC,PHX,2025-11-06,ast,3.5,104.0,-138.0,0.4581151832460733,0.5418848167539267,0.2248761300732136,Under,23.323905317285963,0.7751238699267864,-138.0,True,0.02,1.766511109772603,2.293496186447802
caesars,Bradley Beal,LAC,PHX,2025-11-06,ast,3.5,100.0,-139.0,0.4622823984526112,0.5377176015473888,0.2248761300732136,Under,23.74062683793976,0.7751238699267864,-139.0,True,0.02,1.766511109772603,2.293496186447802
hardrock,Bradley Beal,LAC,PHX,2025-11-06,ast,3.5,-110.0,-130.0,0.4809885931558936,0.5190114068441064,0.2248761300732136,Under,25.611246308267997,0.7751238699267864,-130.0,True,0.02,1.766511109772603,2.293496186447802
draftkings,Chris Paul,LAC,PHX,2025-11-06,ast,6.5,101.0,-131.0,0.46731807974752687,0.5326819202524732,0.019514796231170417,Under,44.780328351635646,0.9804852037688296,-131.0,True,0.02,1.766511109772603,2.293496186447802
fanduel,Chris Paul,LAC,PHX,2025-11-06,ast,6.5,106.0,-140.0,0.45420136260408783,0.5457986373959123,0.019514796231170417,Under,43.46865663729174,0.9804852037688296,-140.0,True,0.02,1.766511109772603,2.293496186447802
caesars,Chris Paul,LAC,PHX,2025-11-06,ast,6.5,100.0,-137.0,0.4637964774951076,0.5362035225048923,0.019514796231170417,Under,44.42816812639373,0.9804852037688296,-137.0,True,0.02,1.766511109772603,2.293496186447802
draftkings,Collin Gillespie,PHX,LAC,2025-11-06,ast,4.5,124.0,-161.0,0.41985715204941765,0.5801428479505822,0.14522879583235487,Under,27.462835621706294,0.8547712041676452,-161.0,True,0.02,2.075503166832239,2.293496186447802
fanduel,Collin Gillespie,PHX,LAC,2025-11-06,ast,4.5,134.0,-180.0,0.3993154592127781,0.600684540787222,0.14522879583235487,Under,25.40866633804232,0.8547712041676452,-180.0,True,0.02,2.075503166832239,2.293496186447802
hardrock,Collin Gillespie,PHX,LAC,2025-11-06,ast,3.5,-135.0,-105.0,0.5286532951289399,0.4713467048710602,0.2672660035922869,Under,26.13872915366529,0.7327339964077131,-105.0,True,0.02,2.075503166832239,2.293496186447802
draftkings,Devin Booker,PHX,LAC,2025-11-06,ast,7.5,-133.0,103.0,0.5367701147140101,0.46322988528598974,0.009011020607075648,Under,52.77590941069346,0.9909889793929243,103.0,True,0.02,2.075503166832239,2.293496186447802
fanduel,Devin Booker,PHX,LAC,2025-11-06,ast,7.5,-125.0,-106.0,0.5191532258064516,0.4808467741935484,0.009011020607075648,Under,51.014220519937595,0.9909889793929243,-106.0,True,0.02,2.075503166832239,2.293496186447802
caesars,Devin Booker,PHX,LAC,2025-11-06,ast,7.5,-129.0,-105.0,0.523767082590612,0.47623291740938806,0.009011020607075648,Under,51.47560619835363,0.9909889793929243,-105.0,True,0.02,2.075503166832239,2.293496186447802
hardrock,Devin Booker,PHX,LAC,2025-11-06,ast,7.5,-115.0,-125.0,0.490521327014218,0.5094786729857821,0.009011020607075648,Under,48.15103064071422,0.9909889793929243,-125.0,True,0.02,2.075503166832239,2.293496186447802
draftkings,Grayson Allen,PHX,LAC,2025-11-06,ast,3.5,-155.0,119.0,0.5710320464294727,0.4289679535705274,0.2672660035922869,Under,30.376604283718567,0.7327339964077131,119.0,True,0.02,2.075503166832239,2.293496186447802
fanduel,Grayson Allen,PHX,LAC,2025-11-06,ast,3.5,-152.0,114.0,0.563470066518847,0.43652993348115304,0.2672660035922869,Under,29.620406292656003,0.7327339964077131,114.0,True,0.02,2.075503166832239,2.293496186447802
caesars,Grayson Allen,PHX,LAC,2025-11-06,ast,3.5,-150.0,110.0,0.5575221238938053,0.4424778761061947,0.2672660035922869,Under,29.025612030151837,0.7327339964077131,110.0,True,0.02,2.075503166832239,2.293496186447802
hardrock,Grayson Allen,PHX,LAC,2025-11-06,ast,3.5,-155.0,110.0,0.5607235142118863,0.4392764857881137,0.2672660035922869,Under,29.34575106195994,0.7327339964077131,110.0,True,0.02,2.075503166832239,2.293496186447802
draftkings,Ivica Zubac,LAC,PHX,2025-11-06,ast,2.5,-116.0,-112.0,0.5040997048212529,0.4959002951787471,0.3745552123121255,Under,12.954449250912736,0.6254447876878745,-112.0,True,0.02,1.766511109772603,2.293496186447802
fanduel,Ivica Zubac,LAC,PHX,2025-11-06,ast,2.5,-122.0,-108.0,0.5141838223374939,0.48581617766250607,0.3745552123121255,Under,13.962861002536842,0.6254447876878745,-108.0,True,0.02,1.766511109772603,2.293496186447802
