name,team,opponent,game_date,game_id,PTS_roll5_mean,PTS_roll5_std,REB_roll5_mean,REB_roll5_std,AST_roll5_mean,AST_roll5_std,STL_roll5_mean,STL_roll5_std,BLK_roll5_mean,BLK_roll5_std,TOV_roll5_mean,TOV_roll5_std,MIN_roll5_mean,MIN_roll5_std,FGM_roll5_mean,FGM_roll5_std,FGA_roll5_mean,FGA_roll5_std,FG_PCT_roll5_mean,FG_PCT_roll5_std,FG3M_roll5_mean,FG3M_roll5_std,FG3A_roll5_mean,FG3A_roll5_std,FTM_roll5_mean,FTM_roll5_std,FTA_roll5_mean,FTA_roll5_std,FT_PCT_roll5_mean,FT_PCT_roll5_std,PLUS_MINUS_roll5_mean,PLUS_MINUS_roll5_std,PTS_roll10_mean,PTS_roll10_std,REB_roll10_mean,REB_roll10_std,AST_roll10_mean,AST_roll10_std,STL_roll10_mean,STL_roll10_std,BLK_roll10_mean,BLK_roll10_std,TOV_roll10_mean,TOV_roll10_std,MIN_roll10_mean,MIN_roll10_std,FGM_roll10_mean,FGM_roll10_std,FGA_roll10_mean,FGA_roll10_std,FG_PCT_roll10_mean,FG_PCT_roll10_std,FG3M_roll10_mean,FG3M_roll10_std,FG3A_roll10_mean,FG3A_roll10_std,FTM_roll10_mean,FTM_roll10_std,FTA_roll10_mean,FTA_roll10_std,FT_PCT_roll10_mean,FT_PCT_roll10_std,PLUS_MINUS_roll10_mean,PLUS_MINUS_roll10_std,PTS_trend10,REB_trend10,AST_trend10,STL_trend10,BLK_trend10,TOV_trend10,MIN_trend10,FGM_trend10,FGA_trend10,FG_PCT_trend10,FG3M_trend10,FG3A_trend10,FTM_trend10,FTA_trend10,FT_PCT_trend10,PLUS_MINUS_trend10
Chris Boucher,BOS,UTA,2025-11-03,22500158,2.0,2.8284271247461903,1.8,2.04939015319192,0.4,0.5477225575051661,0.6,0.5477225575051661,1.0,1.7320508075688772,0.2,0.4472135954999579,11.2,5.310367218940701,0.8,1.0954451150103324,3.2,1.9235384061671343,0.1666,0.23564337461511625,0.0,0.0,1.6,0.5477225575051661,0.4,0.894427190999916,0.4,0.894427190999916,,,-3.6,4.929503017546495,2.0,2.8284271247461903,1.8,2.04939015319192,0.4,0.5477225575051661,0.6,0.5477225575051661,1.0,1.7320508075688772,0.2,0.4472135954999579,11.2,5.310367218940701,0.8,1.0954451150103324,3.2,1.9235384061671343,0.1666,0.23564337461511625,0.0,0.0,1.6,0.5477225575051661,0.4,0.894427190999916,0.4,0.894427190999916,,,-3.6,4.929503017546495,-0.4000000000000005,-1.2000000000000006,-0.2,-0.10000000000000012,-0.4000000000000003,0.1,-1.8000000000000012,-1.0097476089672595e-16,0.1999999999999993,-0.03340000000000003,0.0,-0.10000000000000021,-0.40000000000000013,-0.40000000000000013,,-1.7000000000000004
Chris Manon,LAL,SAC,2025-10-26,22500113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Manon,LAL,POR,2025-10-27,22500122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,LAC,UTA,2025-10-22,22500087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,LAC,PHX,2025-10-24,22500099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,LAC,POR,2025-10-26,22500112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,LAC,GSW,2025-10-28,22500127,3.3333333333333335,3.0550504633038935,1.6666666666666667,1.1547005383792517,4.666666666666667,3.0550504633038935,1.3333333333333333,1.5275252316519468,0.0,0.0,1.0,1.0,15.333333333333334,4.509249752822894,1.0,1.0,3.3333333333333335,2.0816659994661326,0.2333333333333333,0.2516611478423583,1.0,1.0,3.0,1.7320508075688772,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,,,-2.6666666666666665,6.658328118479393,3.3333333333333335,3.0550504633038935,1.6666666666666667,1.1547005383792517,4.666666666666667,3.0550504633038935,1.3333333333333333,1.5275252316519468,0.0,0.0,1.0,1.0,15.333333333333334,4.509249752822894,1.0,1.0,3.3333333333333335,2.0816659994661326,0.2333333333333333,0.2516611478423583,1.0,1.0,3.0,1.7320508075688772,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,,,-2.6666666666666665,6.658328118479393,0.9999999999999996,4.07711101981292e-16,-0.9999999999999984,-0.4999999999999995,0.0,-0.4999999999999997,-1.9999999999999976,0.4999999999999995,-0.5000000000000012,0.14999999999999988,0.4999999999999995,-1.65235853802887e-16,-0.5000000000000001,-0.5000000000000001,,-0.49999999999999645
Chris Paul,LAC,NOP,2025-10-31,22500027,2.5,3.0,1.5,1.0,4.0,2.8284271247461903,1.75,1.5,0.0,0.0,1.0,0.816496580927726,15.0,3.7416573867739418,0.75,0.9574271077563381,3.0,1.8257418583505538,0.175,0.23629078131263043,0.75,0.9574271077563381,2.5,1.7320508075688772,0.25,0.5,0.25,0.5,,,-4.75,6.849574196011505,2.5,3.0,1.5,1.0,4.0,2.8284271247461903,1.75,1.5,0.0,0.0,1.0,0.816496580927726,15.0,3.7416573867739418,0.75,0.9574271077563381,3.0,1.8257418583505538,0.175,0.23629078131263043,0.75,0.9574271077563381,2.5,1.7320508075688772,0.25,0.5,0.25,0.5,,,-4.75,6.849574196011505,-0.6,-0.19999999999999984,-1.1999999999999997,0.30000000000000004,0.0,-0.19999999999999982,-1.1999999999999993,-0.10000000000000005,-0.6000000000000003,-0.01,-0.10000000000000005,-0.6,-0.30000000000000004,-0.30000000000000004,,-2.6999999999999993
Chris Paul,LAC,MIA,2025-11-03,22500164,2.6,2.6076809620810595,1.4,0.8944271909999159,4.0,2.449489742783178,1.4,1.51657508881031,0.0,0.0,0.8,0.8366600265340756,13.8,4.207136793592526,0.8,0.8366600265340756,3.2,1.6431676725154984,0.19,0.20736441353327723,0.8,0.8366600265340756,2.4,1.51657508881031,0.2,0.447213595499958,0.2,0.447213595499958,,,-4.0,6.164414002968976,2.6,2.6076809620810595,1.4,0.8944271909999159,4.0,2.449489742783178,1.4,1.51657508881031,0.0,0.0,0.8,0.8366600265340756,13.8,4.207136793592526,0.8,0.8366600265340756,3.2,1.6431676725154984,0.19,0.20736441353327723,0.8,0.8366600265340756,2.4,1.51657508881031,0.2,0.447213595499958,0.2,0.447213595499958,,,-4.0,6.164414002968976,-0.20000000000000018,-0.2,-0.6000000000000008,-0.2000000000000001,0.0,-0.3000000000000001,-1.8000000000000023,-1.0097476089672595e-16,-0.10000000000000062,0.00999999999999998,-1.0097476089672595e-16,-0.40000000000000063,-0.20000000000000007,-0.20000000000000007,,-0.6
Chris Youngblood,OKC,HOU,2025-10-21,22500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Youngblood,OKC,IND,2025-10-23,22500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Youngblood,OKC,ATL,2025-10-25,22500101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
