player,team,opponent,game_date,market,book,line,over_odds,under_odds
Isaac Okoro,CHI,PHI,2025-11-04,PTS,mgm,7.5,100.0,-135.0
Tristan da Silva,ORL,@ATL,2025-11-04,PTS,mgm,7.5,100.0,-135.0
Kris Dunn,LAC,OKC,2025-11-04,PTS,mgm,6.5,-115.0,-115.0
Sandro Mamukelashvili,TOR,MIL,2025-11-04,PTS,mgm,6.5,-105.0,-130.0
Jamal Shead,TOR,MIL,2025-11-04,PTS,mgm,6.5,-110.0,-120.0
Brook Lopez,LAC,OKC,2025-11-04,PTS,mgm,5.5,-140.0,105.0
Quinten Post,GSW,PHX,2025-11-04,PTS,mgm,5.5,-110.0,-120.0
Ochai Agbaji,TOR,MIL,2025-11-04,PTS,mgm,4.5,-115.0,-118.0
Goga Bitadze,ORL,@ATL,2025-11-04,PTS,mgm,4.5,-105.0,-125.0
Oso Ighodaro,PHX,@GSW,2025-11-04,PTS,mgm,4.5,110.0,-145.0
Taurean Prince,MIL,@TOR,2025-11-04,PTS,mgm,4.5,-135.0,100.0
Shai Gilgeous-Alexander,OKC,@LAC,2025-11-04,PTS,mgm,31.5,,
Giannis Antetokounmpo,MIL,@TOR,2025-11-04,PTS,mgm,31.5,,
Devin Booker,PHX,@GSW,2025-11-04,PTS,mgm,28.5,,
Tyrese Maxey,PHI,@CHI,2025-11-04,PTS,mgm,27.5,,
Stephen Curry,GSW,PHX,2025-11-04,PTS,mgm,25.5,,
LaMelo Ball,CHA,@NOP,2025-11-04,PTS,mgm,24.5,,
Paolo Banchero,ORL,@ATL,2025-11-04,PTS,mgm,24.5,,
Zion Williamson,NOP,CHA,2025-11-04,PTS,mgm,24.5,,
James Harden,LAC,OKC,2025-11-04,PTS,mgm,22.5,,
Franz Wagner,ORL,@ATL,2025-11-04,PTS,mgm,21.5,,
Josh Giddey,CHI,PHI,2025-11-04,PTS,mgm,20.5,,
Brandon Ingram,TOR,MIL,2025-11-04,PTS,mgm,20.5,,
Kawhi Leonard,LAC,OKC,2025-11-04,PTS,mgm,21.5,,
RJ Barrett,TOR,MIL,2025-11-04,PTS,mgm,18.5,,
Miles Bridges,CHA,@NOP,2025-11-04,PTS,mgm,20.5,,
Jimmy Butler,GSW,PHX,2025-11-04,PTS,mgm,20.5,,
Joel Embiid,PHI,@CHI,2025-11-04,PTS,mgm,19.5,,
Jalen Johnson,ATL,ORL,2025-11-04,PTS,mgm,20.5,,
Scottie Barnes,TOR,MIL,2025-11-04,PTS,mgm,18.5,,
Nikola Vucevic,CHI,PHI,2025-11-04,PTS,mgm,18.5,,
Chet Holmgren,OKC,@LAC,2025-11-04,PTS,mgm,17.5,,
Trey Murphy,NOP,CHA,2025-11-04,PTS,mgm,18.5,,
Desmond Bane,ORL,@ATL,2025-11-04,PTS,mgm,16.5,,
Matas Buzelis,CHI,PHI,2025-11-04,PTS,mgm,16.5,,
Jonathan Kuminga,GSW,PHX,2025-11-04,PTS,mgm,17.5,,
Kristaps Porzingis,ATL,ORL,2025-11-04,PTS,mgm,17.5,,
Collin Sexton,CHA,@NOP,2025-11-04,PTS,mgm,17.5,,
Nickeil Alexander-Walker,ATL,ORL,2025-11-04,PTS,mgm,16.5,,
VJ Edgecombe,PHI,@CHI,2025-11-04,PTS,mgm,15.5,,
Jordan Poole,NOP,CHA,2025-11-04,PTS,mgm,16.5,,
Immanuel Quickley,TOR,MIL,2025-11-04,PTS,mgm,15.5,,
Grayson Allen,PHX,@GSW,2025-11-04,PTS,mgm,15.5,,
John Collins,LAC,OKC,2025-11-04,PTS,mgm,15.5,,
Quentin Grimes,PHI,@CHI,2025-11-04,PTS,mgm,14.5,,
Ivica Zubac,LAC,OKC,2025-11-04,PTS,mgm,14.5,,
Dyson Daniels,ATL,ORL,2025-11-04,PTS,mgm,13.5,,
Jeremiah Fears,NOP,CHA,2025-11-04,PTS,mgm,14.5,,
Ajay Mitchell,OKC,@LAC,2025-11-04,PTS,mgm,14.5,,
Kelly Oubre,PHI,@CHI,2025-11-04,PTS,mgm,13.5,,
Ryan Rollins,MIL,@TOR,2025-11-04,PTS,mgm,13.5,,
Ayo Dosunmu,CHI,PHI,2025-11-04,PTS,mgm,12.5,,
Brandin Podziemski,GSW,PHX,2025-11-04,PTS,mgm,12.5,,
Gary Trent,MIL,@TOR,2025-11-04,PTS,mgm,13.5,,
Myles Turner,MIL,@TOR,2025-11-04,PTS,mgm,12.5,,
Tre Jones,CHI,PHI,2025-11-04,PTS,mgm,11.5,,
Kon Knueppel,CHA,@NOP,2025-11-04,PTS,mgm,12.5,,
Onyeka Okongwu,ATL,ORL,2025-11-04,PTS,mgm,12.5,,
Mark Williams,PHX,@GSW,2025-11-04,PTS,mgm,12.5,,
Anthony Black,ORL,@ATL,2025-11-04,PTS,mgm,10.5,,
Wendell Carter,ORL,@ATL,2025-11-04,PTS,mgm,10.5,,
Collin Gillespie,PHX,@GSW,2025-11-04,PTS,mgm,11.5,,
Kevin Huerter,CHI,PHI,2025-11-04,PTS,mgm,11.5,,
Tre Mann,CHA,@NOP,2025-11-04,PTS,mgm,11.5,,
Royce O'Neale,PHX,@GSW,2025-11-04,PTS,mgm,11.5,,
Bradley Beal,LAC,OKC,2025-11-04,PTS,mgm,10.5,,
Isaiah Hartenstein,OKC,@LAC,2025-11-04,PTS,mgm,10.5,,
Herbert Jones,NOP,CHA,2025-11-04,PTS,mgm,10.5,,
Derrick Jones,LAC,OKC,2025-11-04,PTS,mgm,9.5,,
Collin Murray-Boyles,TOR,MIL,2025-11-04,PTS,mgm,9.5,,
Zaccharie Risacher,ATL,ORL,2025-11-04,PTS,mgm,10.5,,
Jalen Suggs,ORL,@ATL,2025-11-04,PTS,mgm,10.5,,
Cole Anthony,MIL,@TOR,2025-11-04,PTS,mgm,8.5,,
Moussa Diabate,CHA,@NOP,2025-11-04,PTS,mgm,9.5,,
Luguentz Dort,OKC,@LAC,2025-11-04,PTS,mgm,8.5,,
Ryan Dunn,PHX,@GSW,2025-11-04,PTS,mgm,9.5,,
AJ Green,MIL,@TOR,2025-11-04,PTS,mgm,9.5,,
Ryan Kalkbrenner,CHA,@NOP,2025-11-04,PTS,mgm,9.5,,
Kyle Kuzma,MIL,@TOR,2025-11-04,PTS,mgm,8.5,,
Jared McCain,PHI,@CHI,2025-11-04,PTS,mgm,8.5,,
Jakob Poeltl,TOR,MIL,2025-11-04,PTS,mgm,8.5,,
Bobby Portis,MIL,@TOR,2025-11-04,PTS,mgm,9.5,,
Cason Wallace,OKC,@LAC,2025-11-04,PTS,mgm,8.5,,
Draymond Green,GSW,PHX,2025-11-04,PTS,mgm,8.5,,
Luke Kennard,ATL,ORL,2025-11-04,PTS,mgm,7.5,,
Jalen Smith,CHI,PHI,2025-11-04,PTS,mgm,8.5,,
Patrick Williams,CHI,PHI,2025-11-04,PTS,mgm,8.5,,
Saddiq Bey,NOP,CHA,2025-11-04,PTS,mgm,7.5,,
Alex Caruso,OKC,@LAC,2025-11-04,PTS,mgm,6.5,,
Buddy Hield,GSW,PHX,2025-11-04,PTS,mgm,7.5,,
Sion James,CHA,@NOP,2025-11-04,PTS,mgm,7.5,,
Yves Missi,NOP,CHA,2025-11-04,PTS,mgm,7.5,,
Moses Moody,GSW,PHX,2025-11-04,PTS,mgm,7.5,,
Isaac Okoro,CHI,PHI,2025-11-04,PTS,mgm,7.5,,
Tristan da Silva,ORL,@ATL,2025-11-04,PTS,mgm,7.5,,
Kris Dunn,LAC,OKC,2025-11-04,PTS,mgm,6.5,,
Sandro Mamukelashvili,TOR,MIL,2025-11-04,PTS,mgm,6.5,,
Jamal Shead,TOR,MIL,2025-11-04,PTS,mgm,6.5,,
Brook Lopez,LAC,OKC,2025-11-04,PTS,mgm,5.5,,
Quinten Post,GSW,PHX,2025-11-04,PTS,mgm,5.5,,
Ochai Agbaji,TOR,MIL,2025-11-04,PTS,mgm,4.5,,
Goga Bitadze,ORL,@ATL,2025-11-04,PTS,mgm,4.5,,
Oso Ighodaro,PHX,@GSW,2025-11-04,PTS,mgm,4.5,,
Taurean Prince,MIL,@TOR,2025-11-04,PTS,mgm,4.5,,
Shai Gilgeous-Alexander,OKC,@LAC,2025-11-04,PTS,mgm,31.5,,
Giannis Antetokounmpo,MIL,@TOR,2025-11-04,PTS,mgm,31.5,,
Devin Booker,PHX,@GSW,2025-11-04,PTS,mgm,28.5,,
Tyrese Maxey,PHI,@CHI,2025-11-04,PTS,mgm,27.5,,
Stephen Curry,GSW,PHX,2025-11-04,PTS,mgm,25.5,,
LaMelo Ball,CHA,@NOP,2025-11-04,PTS,mgm,24.5,,
Paolo Banchero,ORL,@ATL,2025-11-04,PTS,mgm,24.5,,
Zion Williamson,NOP,CHA,2025-11-04,PTS,mgm,24.5,,
James Harden,LAC,OKC,2025-11-04,PTS,mgm,22.5,,
Franz Wagner,ORL,@ATL,2025-11-04,PTS,mgm,21.5,,
Josh Giddey,CHI,PHI,2025-11-04,PTS,mgm,20.5,,
Brandon Ingram,TOR,MIL,2025-11-04,PTS,mgm,20.5,,
Kawhi Leonard,LAC,OKC,2025-11-04,PTS,mgm,21.5,,
RJ Barrett,TOR,MIL,2025-11-04,PTS,mgm,18.5,,
Miles Bridges,CHA,@NOP,2025-11-04,PTS,mgm,20.5,,
Jimmy Butler,GSW,PHX,2025-11-04,PTS,mgm,20.5,,
Joel Embiid,PHI,@CHI,2025-11-04,PTS,mgm,19.5,,
Jalen Johnson,ATL,ORL,2025-11-04,PTS,mgm,20.5,,
Scottie Barnes,TOR,MIL,2025-11-04,PTS,mgm,18.5,,
Nikola Vucevic,CHI,PHI,2025-11-04,PTS,mgm,18.5,,
Chet Holmgren,OKC,@LAC,2025-11-04,PTS,mgm,17.5,,
Trey Murphy,NOP,CHA,2025-11-04,PTS,mgm,18.5,,
Desmond Bane,ORL,@ATL,2025-11-04,PTS,mgm,16.5,,
Matas Buzelis,CHI,PHI,2025-11-04,PTS,mgm,16.5,,
Jonathan Kuminga,GSW,PHX,2025-11-04,PTS,mgm,17.5,,
Kristaps Porzingis,ATL,ORL,2025-11-04,PTS,mgm,17.5,,
Collin Sexton,CHA,@NOP,2025-11-04,PTS,mgm,17.5,,
Nickeil Alexander-Walker,ATL,ORL,2025-11-04,PTS,mgm,16.5,,
VJ Edgecombe,PHI,@CHI,2025-11-04,PTS,mgm,15.5,,
Jordan Poole,NOP,CHA,2025-11-04,PTS,mgm,16.5,,
Immanuel Quickley,TOR,MIL,2025-11-04,PTS,mgm,15.5,,
Grayson Allen,PHX,@GSW,2025-11-04,PTS,mgm,15.5,,
John Collins,LAC,OKC,2025-11-04,PTS,mgm,15.5,,
Quentin Grimes,PHI,@CHI,2025-11-04,PTS,mgm,14.5,,
Ivica Zubac,LAC,OKC,2025-11-04,PTS,mgm,14.5,,
Dyson Daniels,ATL,ORL,2025-11-04,PTS,mgm,13.5,,
Jeremiah Fears,NOP,CHA,2025-11-04,PTS,mgm,14.5,,
Ajay Mitchell,OKC,@LAC,2025-11-04,PTS,mgm,14.5,,
Kelly Oubre,PHI,@CHI,2025-11-04,PTS,mgm,13.5,,
Ryan Rollins,MIL,@TOR,2025-11-04,PTS,mgm,13.5,,
Ayo Dosunmu,CHI,PHI,2025-11-04,PTS,mgm,12.5,,
Brandin Podziemski,GSW,PHX,2025-11-04,PTS,mgm,12.5,,
Gary Trent,MIL,@TOR,2025-11-04,PTS,mgm,13.5,,
Myles Turner,MIL,@TOR,2025-11-04,PTS,mgm,12.5,,
Tre Jones,CHI,PHI,2025-11-04,PTS,mgm,11.5,,
Kon Knueppel,CHA,@NOP,2025-11-04,PTS,mgm,12.5,,
Onyeka Okongwu,ATL,ORL,2025-11-04,PTS,mgm,12.5,,
Mark Williams,PHX,@GSW,2025-11-04,PTS,mgm,12.5,,
Anthony Black,ORL,@ATL,2025-11-04,PTS,mgm,10.5,,
Wendell Carter,ORL,@ATL,2025-11-04,PTS,mgm,10.5,,
Collin Gillespie,PHX,@GSW,2025-11-04,PTS,mgm,11.5,,
Kevin Huerter,CHI,PHI,2025-11-04,PTS,mgm,11.5,,
Tre Mann,CHA,@NOP,2025-11-04,PTS,mgm,11.5,,
Royce O'Neale,PHX,@GSW,2025-11-04,PTS,mgm,11.5,,
Bradley Beal,LAC,OKC,2025-11-04,PTS,mgm,10.5,,
Isaiah Hartenstein,OKC,@LAC,2025-11-04,PTS,mgm,10.5,,
Herbert Jones,NOP,CHA,2025-11-04,PTS,mgm,10.5,,
Derrick Jones,LAC,OKC,2025-11-04,PTS,mgm,9.5,,
Collin Murray-Boyles,TOR,MIL,2025-11-04,PTS,mgm,9.5,,
Zaccharie Risacher,ATL,ORL,2025-11-04,PTS,mgm,10.5,,
Jalen Suggs,ORL,@ATL,2025-11-04,PTS,mgm,10.5,,
Cole Anthony,MIL,@TOR,2025-11-04,PTS,mgm,8.5,,
Moussa Diabate,CHA,@NOP,2025-11-04,PTS,mgm,9.5,,
Luguentz Dort,OKC,@LAC,2025-11-04,PTS,mgm,8.5,,
Ryan Dunn,PHX,@GSW,2025-11-04,PTS,mgm,9.5,,
AJ Green,MIL,@TOR,2025-11-04,PTS,mgm,9.5,,
Ryan Kalkbrenner,CHA,@NOP,2025-11-04,PTS,mgm,9.5,,
Kyle Kuzma,MIL,@TOR,2025-11-04,PTS,mgm,8.5,,
Jared McCain,PHI,@CHI,2025-11-04,PTS,mgm,8.5,,
Jakob Poeltl,TOR,MIL,2025-11-04,PTS,mgm,8.5,,
Bobby Portis,MIL,@TOR,2025-11-04,PTS,mgm,9.5,,
Cason Wallace,OKC,@LAC,2025-11-04,PTS,mgm,8.5,,
Draymond Green,GSW,PHX,2025-11-04,PTS,mgm,8.5,,
Luke Kennard,ATL,ORL,2025-11-04,PTS,mgm,7.5,,
Jalen Smith,CHI,PHI,2025-11-04,PTS,mgm,8.5,,
Patrick Williams,CHI,PHI,2025-11-04,PTS,mgm,8.5,,
Saddiq Bey,NOP,CHA,2025-11-04,PTS,mgm,7.5,,
Alex Caruso,OKC,@LAC,2025-11-04,PTS,mgm,6.5,,
Buddy Hield,GSW,PHX,2025-11-04,PTS,mgm,7.5,,
Sion James,CHA,@NOP,2025-11-04,PTS,mgm,7.5,,
Yves Missi,NOP,CHA,2025-11-04,PTS,mgm,7.5,,
Moses Moody,GSW,PHX,2025-11-04,PTS,mgm,7.5,,
Isaac Okoro,CHI,PHI,2025-11-04,PTS,mgm,7.5,,
Tristan da Silva,ORL,@ATL,2025-11-04,PTS,mgm,7.5,,
Kris Dunn,LAC,OKC,2025-11-04,PTS,mgm,6.5,,
Sandro Mamukelashvili,TOR,MIL,2025-11-04,PTS,mgm,6.5,,
Jamal Shead,TOR,MIL,2025-11-04,PTS,mgm,6.5,,
Brook Lopez,LAC,OKC,2025-11-04,PTS,mgm,5.5,,
Quinten Post,GSW,PHX,2025-11-04,PTS,mgm,5.5,,
Ochai Agbaji,TOR,MIL,2025-11-04,PTS,mgm,4.5,,
Goga Bitadze,ORL,@ATL,2025-11-04,PTS,mgm,4.5,,
Oso Ighodaro,PHX,@GSW,2025-11-04,PTS,mgm,4.5,,
Taurean Prince,MIL,@TOR,2025-11-04,PTS,mgm,4.5,,
Shai Gilgeous-Alexander,OKC,@LAC,2025-11-04,PTS,draftkings,31.5,-117.0,-109.0
Giannis Antetokounmpo,MIL,@TOR,2025-11-04,PTS,draftkings,31.5,-104.0,-123.0
Devin Booker,PHX,@GSW,2025-11-04,PTS,draftkings,28.5,-116.0,-110.0
Tyrese Maxey,PHI,@CHI,2025-11-04,PTS,draftkings,27.5,-110.0,-116.0
Stephen Curry,GSW,PHX,2025-11-04,PTS,draftkings,24.5,-119.0,-108.0
LaMelo Ball,CHA,@NOP,2025-11-04,PTS,draftkings,23.5,-122.0,-104.0
Paolo Banchero,ORL,@ATL,2025-11-04,PTS,draftkings,24.5,-112.0,-114.0
Zion Williamson,NOP,CHA,2025-11-04,PTS,draftkings,24.5,-105.0,-121.0
James Harden,LAC,OKC,2025-11-04,PTS,draftkings,21.5,-118.0,-108.0
Franz Wagner,ORL,@ATL,2025-11-04,PTS,draftkings,21.5,-111.0,-115.0
Josh Giddey,CHI,PHI,2025-11-04,PTS,draftkings,21.5,-103.0,-124.0
Brandon Ingram,TOR,MIL,2025-11-04,PTS,draftkings,20.5,-125.0,-102.0
Kawhi Leonard,LAC,OKC,2025-11-04,PTS,draftkings,21.5,-114.0,-111.0
RJ Barrett,TOR,MIL,2025-11-04,PTS,draftkings,19.5,-114.0,-112.0
Miles Bridges,CHA,@NOP,2025-11-04,PTS,draftkings,20.5,-110.0,-116.0
Jimmy Butler,GSW,PHX,2025-11-04,PTS,draftkings,19.5,-119.0,-107.0
Joel Embiid,PHI,@CHI,2025-11-04,PTS,draftkings,19.5,-120.0,-106.0
Jalen Johnson,ATL,ORL,2025-11-04,PTS,draftkings,20.5,-106.0,-120.0
Scottie Barnes,TOR,MIL,2025-11-04,PTS,draftkings,18.5,-111.0,-114.0
Nikola Vucevic,CHI,PHI,2025-11-04,PTS,draftkings,18.5,-122.0,-105.0
Chet Holmgren,OKC,@LAC,2025-11-04,PTS,draftkings,17.5,-118.0,-108.0
Trey Murphy,NOP,CHA,2025-11-04,PTS,draftkings,18.5,-117.0,-109.0
Desmond Bane,ORL,@ATL,2025-11-04,PTS,draftkings,16.5,-115.0,-111.0
Matas Buzelis,CHI,PHI,2025-11-04,PTS,draftkings,16.5,-108.0,-118.0
Jonathan Kuminga,GSW,PHX,2025-11-04,PTS,draftkings,17.5,-124.0,-103.0
Kristaps Porzingis,ATL,ORL,2025-11-04,PTS,draftkings,17.5,-118.0,-108.0
Collin Sexton,CHA,@NOP,2025-11-04,PTS,draftkings,17.5,-107.0,-120.0
Nickeil Alexander-Walker,ATL,ORL,2025-11-04,PTS,draftkings,16.5,-116.0,-110.0
VJ Edgecombe,PHI,@CHI,2025-11-04,PTS,draftkings,15.5,-124.0,-103.0
Jordan Poole,NOP,CHA,2025-11-04,PTS,draftkings,15.5,-106.0,-120.0
Immanuel Quickley,TOR,MIL,2025-11-04,PTS,draftkings,16.5,-111.0,-115.0
Grayson Allen,PHX,@GSW,2025-11-04,PTS,draftkings,15.5,-117.0,-109.0
John Collins,LAC,OKC,2025-11-04,PTS,draftkings,15.5,-106.0,-120.0
Quentin Grimes,PHI,@CHI,2025-11-04,PTS,draftkings,14.5,-118.0,-108.0
Ivica Zubac,LAC,OKC,2025-11-04,PTS,draftkings,14.5,-111.0,-114.0
Dyson Daniels,ATL,ORL,2025-11-04,PTS,draftkings,13.5,-116.0,-110.0
Jeremiah Fears,NOP,CHA,2025-11-04,PTS,draftkings,14.5,-106.0,-121.0
Ajay Mitchell,OKC,@LAC,2025-11-04,PTS,draftkings,14.5,-112.0,-114.0
Kelly Oubre,PHI,@CHI,2025-11-04,PTS,draftkings,14.5,-103.0,-124.0
Ryan Rollins,MIL,@TOR,2025-11-04,PTS,draftkings,14.5,-112.0,-114.0
Ayo Dosunmu,CHI,PHI,2025-11-04,PTS,draftkings,12.5,-115.0,-111.0
Brandin Podziemski,GSW,PHX,2025-11-04,PTS,draftkings,12.5,-127.0,-101.0
Gary Trent,MIL,@TOR,2025-11-04,PTS,draftkings,13.5,-109.0,-116.0
Myles Turner,MIL,@TOR,2025-11-04,PTS,draftkings,13.5,-121.0,-106.0
Tre Jones,CHI,PHI,2025-11-04,PTS,draftkings,11.5,-119.0,-107.0
Kon Knueppel,CHA,@NOP,2025-11-04,PTS,draftkings,12.5,-114.0,-112.0
Onyeka Okongwu,ATL,ORL,2025-11-04,PTS,draftkings,11.5,-119.0,-107.0
Mark Williams,PHX,@GSW,2025-11-04,PTS,draftkings,12.5,-112.0,-114.0
Anthony Black,ORL,@ATL,2025-11-04,PTS,draftkings,10.5,-111.0,-115.0
Wendell Carter,ORL,@ATL,2025-11-04,PTS,draftkings,11.5,103.0,-131.0
Collin Gillespie,PHX,@GSW,2025-11-04,PTS,draftkings,11.5,-109.0,-117.0
Kevin Huerter,CHI,PHI,2025-11-04,PTS,draftkings,11.5,101.0,-129.0
