Player,Team,Opponent,Market,Line,OverOdds_American,UnderOdds_American,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel,OverDecimal,UnderDecimal
Kyle Kuzma,MIL,@MIA,REB,4.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,25.36,3.881537084579468,2.3655220813485798,0.3968732131995819,0.6031267868004181,2.0,1.7407407407407407
LaMelo Ball,CHA,NYK,AST,6.5,-148,112,0.5967741935483871,0.4716981132075472,0.5585303332383936,0.4414696667616063,30.2,8.719962674379348,2.313224680980224,0.8313926388315138,0.1686073611684861,1.6756756756756757,2.12
LaMelo Ball,CHA,NYK,PTS,19.5,-104,-128,0.5098039215686274,0.5614035087719298,0.4759152215799614,0.5240847784200385,30.2,21.480778050422668,6.410865641827959,0.621328591142174,0.378671408857826,1.9615384615384617,1.78125
LaMelo Ball,CHA,NYK,REB,4.5,105,-145,0.4878048780487805,0.5918367346938775,0.4518211157215306,0.5481788842784694,30.2,5.853039079904556,2.830542420682209,0.6836799017202608,0.3163200982797391,2.05,1.6896551724137931
Luguentz Dort,OKC,MIN,AST,0.5,-155,115,0.6078431372549019,0.4651162790697674,0.5665108372290693,0.4334891627709307,23.8,1.072598971426487,1.563901965125851,0.6428677635785454,0.3571322364214546,1.6451612903225805,2.15
Luguentz Dort,OKC,MIN,PTS,8.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.4898785425101215,23.8,7.156274354457856,4.6451642368380766,0.3861858201434691,0.6138141798565309,1.8333333333333335,1.9090909090909092
Luguentz Dort,OKC,MIN,REB,3.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.4898785425101215,23.8,3.042685920000076,2.202902889861014,0.4177721693262233,0.5822278306737767,1.8333333333333335,1.9090909090909092
Luka Garza,BOS,DET,PTS,9.5,-101,-127,0.5024875621890548,0.5594713656387665,0.4731704296858876,0.5268295703141123,17.4,7.7658149778842915,3.767553006694118,0.3226523199572557,0.6773476800427443,1.99009900990099,1.7874015748031495
Luka Garza,BOS,DET,REB,5.5,-109,-121,0.5215311004784688,0.5475113122171946,0.4878488395641783,0.5121511604358217,17.4,5.354026293754577,2.0272799775667214,0.471299079895931,0.528700920104069,1.9174311926605505,1.8264462809917354
Luke Kornet,SAS,@POR,AST,2.5,148,-200,0.4032258064516129,0.6666666666666666,0.3768844221105528,0.6231155778894473,25.4,1.683749121427536,1.6799990506939262,0.3135318350915116,0.6864681649084884,2.48,1.5
Luke Kornet,SAS,@POR,PTS,9.5,-110,-118,0.5238095238095238,0.5412844036697247,0.4917965545529122,0.5082034454470877,25.4,7.369758945703506,4.923901389054336,0.3326407924333755,0.6673592075666245,1.9090909090909092,1.847457627118644
Luke Kornet,SAS,@POR,REB,6.5,-114,-117,0.5327102803738317,0.5391705069124424,0.4969864995178399,0.5030135004821601,25.4,5.785604035854339,2.47265798836044,0.3863219772323647,0.6136780227676353,1.8771929824561404,1.8547008547008548
Malik Monk,SAC,PHX,AST,2.5,-145,110,0.5918367346938775,0.4761904761904761,0.554140127388535,0.4458598726114649,22.2,2.025807778537273,1.4979031376931369,0.3757846914807996,0.6242153085192004,1.6896551724137931,2.1
Malik Monk,SAC,PHX,PTS,11.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.4898785425101215,22.2,11.48137936592102,4.701543787665923,0.4984199788118564,0.5015800211881436,1.8333333333333335,1.9090909090909092
Malik Monk,SAC,PHX,REB,2.5,115,-155,0.4651162790697674,0.6078431372549019,0.4334891627709307,0.5665108372290693,22.2,2.5497397899627683,2.050386225698159,0.5096768886293228,0.4903231113706772,2.15,1.6451612903225805
Mark Williams,PHX,@SAC,AST,1.5,160,-220,0.3846153846153846,0.6875,0.3587443946188341,0.641255605381166,26.48,1.1769257122278214,1.7372719878909664,0.4262355394086115,0.5737644605913885,2.6,1.4545454545454546
Mark Williams,PHX,@SAC,PTS,13.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,26.48,11.954046931266785,5.322719021752455,0.3857382023611608,0.6142617976388391,1.9523809523809523,1.8
Mark Williams,PHX,@SAC,REB,8.5,-130,-102,0.5652173913043478,0.504950495049505,0.5281576830249397,0.4718423169750604,26.48,8.63475371837616,2.743357438608609,0.5195881676692791,0.4804118323307209,1.7692307692307692,1.9803921568627452
Mikal Bridges,NYK,@CHA,AST,3.5,-138,105,0.5798319327731093,0.4878048780487805,0.5430984833941255,0.4569015166058743,35.56,4.855882593393326,2.3893313494517594,0.7148037896241233,0.2851962103758767,1.7246376811594204,2.05
Mikal Bridges,NYK,@CHA,PTS,15.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.4898785425101215,35.56,15.978235280513765,6.9405071978265696,0.5274673596216897,0.4725326403783103,1.8333333333333335,1.9090909090909092
Mikal Bridges,NYK,@CHA,REB,4.5,123,-162,0.4484304932735426,0.6183206106870229,0.4203703109456728,0.5796296890543273,35.56,3.998442349433899,3.2268709847213906,0.4382405453402894,0.5617594546597106,2.23,1.617283950617284
Mike Conley,MIN,@OKC,AST,2.5,-140,105,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,20.0,2.64812171459198,1.4181267529724415,0.5415934227269225,0.4584065772730775,1.7142857142857144,2.05
Mike Conley,MIN,@OKC,PTS,4.5,-140,105,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,20.0,4.656859636306763,3.881681479434395,0.5161169622041255,0.4838830377958745,1.7142857142857144,2.05
Mike Conley,MIN,@OKC,REB,1.5,-130,100,0.5652173913043478,0.5,0.5306122448979592,0.4693877551020409,20.0,2.12006539106369,1.849725540047381,0.6312705125613405,0.3687294874386595,1.7692307692307692,2.0
Miles Bridges,CHA,NYK,AST,3.5,126,-167,0.4424778761061947,0.6254681647940075,0.4143260606436796,0.5856739393563204,35.0,3.817976601421833,2.3284678921995527,0.5543108763706179,0.445689123629382,2.26,1.5988023952095807
Miles Bridges,CHA,NYK,PTS,19.5,105,-140,0.4878048780487805,0.5833333333333334,0.4554079696394686,0.5445920303605313,35.0,20.83419680595398,7.033186396316159,0.5752279646145826,0.4247720353854174,2.05,1.7142857142857144
Miles Bridges,CHA,NYK,REB,6.5,-121,-109,0.5475113122171946,0.5215311004784688,0.5121511604358217,0.4878488395641783,35.0,6.121200993657112,3.226579818595203,0.4532717218500646,0.5467282781499354,1.8264462809917354,1.9174311926605505
Miles McBride,NYK,@CHA,AST,2.5,-110,-120,0.5238095238095238,0.5454545454545454,0.4898785425101215,0.5101214574898786,28.24,2.570847784876824,1.8812774899662348,0.5150203771526098,0.4849796228473901,1.9090909090909092,1.8333333333333335
Miles McBride,NYK,@CHA,PTS,11.5,115,-155,0.4651162790697674,0.6078431372549019,0.4334891627709307,0.5665108372290693,28.24,10.744312267303467,5.539614836706127,0.4457465243028342,0.5542534756971658,2.15,1.6451612903225805
Miles McBride,NYK,@CHA,REB,2.5,-110,-125,0.5238095238095238,0.5555555555555556,0.4852941176470587,0.5147058823529411,28.24,3.162737233042717,2.5782998361427825,0.6014277058785904,0.3985722941214096,1.9090909090909092,1.8
Mitchell Robinson,NYK,@CHA,AST,0.5,115,-155,0.4651162790697674,0.6078431372549019,0.4334891627709307,0.5665108372290693,17.84,0.7477304276823997,1.17689138825907,0.5833595469326455,0.4166404530673545,2.15,1.6451612903225805
Mitchell Robinson,NYK,@CHA,PTS,4.5,105,-135,0.4878048780487805,0.574468085106383,0.4592085979482169,0.5407914020517831,17.84,5.108314075469971,3.560056176394023,0.5678378104818385,0.4321621895181615,2.05,1.7407407407407407
Mitchell Robinson,NYK,@CHA,REB,6.5,-125,-110,0.5555555555555556,0.5238095238095238,0.5147058823529411,0.4852941176470587,17.84,5.998323702812195,2.1351438433860994,0.4071193627168959,0.592880637283104,1.8,1.9090909090909092
Moses Moody,GSW,HOU,AST,1.5,-110,-120,0.5238095238095238,0.5454545454545454,0.4898785425101215,0.5101214574898786,31.4,2.301235280930996,2.071131846575557,0.6505695745678979,0.3494304254321021,1.9090909090909092,1.8333333333333335
Moses Moody,GSW,HOU,PTS,11.5,-118,-115,0.5412844036697247,0.5348837209302325,0.5029738302934179,0.4970261697065821,31.4,16.471102726459502,6.295731932524767,0.7851189614743644,0.2148810385256355,1.847457627118644,1.8695652173913042
Moses Moody,GSW,HOU,REB,3.5,116,-155,0.4629629629629629,0.6078431372549019,0.4323499491353001,0.5676500508646999,31.4,4.049158665537834,2.8702569400735567,0.5758654342166384,0.4241345657833616,2.16,1.6451612903225805
Moussa Diabate,CHA,NYK,AST,0.5,-185,135,0.6491228070175439,0.425531914893617,0.6040291767974991,0.3959708232025009,27.2,4.506311750411987,1.9057494478759696,0.9822331598460936,0.0177668401539062,1.5405405405405406,2.35
Moussa Diabate,CHA,NYK,PTS,7.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,27.2,23.85811357498169,6.298533137206286,0.9952996922432772,0.0047003077567226,1.9523809523809523,1.8
Moussa Diabate,CHA,NYK,REB,7.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,27.2,8.014897966384888,2.7374073873977167,0.5745996719959373,0.4254003280040627,1.8695652173913042,1.8695652173913042
Myles Turner,MIL,@MIA,AST,1.5,-130,-105,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,31.24,1.6790719382464885,2.050160554696584,0.5348014859083596,0.4651985140916403,1.7692307692307692,1.9523809523809523
Myles Turner,MIL,@MIA,PTS,12.5,-122,-108,0.5495495495495496,0.5192307692307693,0.5141838223374939,0.485816177662506,31.24,12.03843699812889,6.086734113478849,0.4697767850166775,0.5302232149833225,1.819672131147541,1.925925925925926
Myles Turner,MIL,@MIA,REB,6.5,-132,100,0.5689655172413793,0.5,0.532258064516129,0.4677419354838709,31.24,6.472221994400024,2.9362266163598463,0.496225885449125,0.503774114550875,1.7575757575757576,2.0
Naz Reid,MIN,@OKC,AST,1.5,-125,-105,0.5555555555555556,0.5121951219512195,0.5203045685279188,0.4796954314720812,25.04,1.975259043574333,1.666551553637006,0.612245010659998,0.3877549893400019,1.8,1.9523809523809523
Naz Reid,MIN,@OKC,PTS,11.5,-110,-120,0.5238095238095238,0.5454545454545454,0.4898785425101215,0.5101214574898786,25.04,12.999080657958984,5.183930587389804,0.6137775628073528,0.3862224371926471,1.9090909090909092,1.8333333333333335
Naz Reid,MIN,@OKC,REB,5.5,106,-139,0.4854368932038835,0.5815899581589958,0.4549434651844519,0.545056534815548,25.04,5.891298321485519,2.455390385037904,0.5633085469207932,0.4366914530792067,2.06,1.7194244604316546
Norman Powell,MIA,MIL,AST,1.5,-179,133,0.6415770609318996,0.4291845493562232,0.5991782435674573,0.4008217564325427,30.2,2.929232680797577,2.0115413574348087,0.761307949435212,0.238692050564788,1.558659217877095,2.33
Norman Powell,MIA,MIL,PTS,19.5,100,-130,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,30.2,25.527293741703037,6.691656831544979,0.8161307820080427,0.1838692179919573,2.0,1.7692307692307692
Norman Powell,MIA,MIL,REB,3.5,128,-172,0.4385964912280701,0.6323529411764706,0.4095398699108648,0.5904601300891351,30.2,3.444304177165032,2.752966793635613,0.4919294693365259,0.5080705306634741,2.2800000000000002,1.5813953488372094
Oso Ighodaro,PHX,@SAC,AST,1.5,105,-140,0.4878048780487805,0.5833333333333334,0.4554079696394686,0.5445920303605313,12.84,1.1016914141178131,0.911754908582781,0.3311067050814058,0.6688932949185942,2.05,1.7142857142857144
Oso Ighodaro,PHX,@SAC,PTS,5.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,12.84,3.079891728758812,2.61362170601669,0.1772334719052157,0.8227665280947842,1.9523809523809523,1.8
Oso Ighodaro,PHX,@SAC,REB,4.5,128,-172,0.4385964912280701,0.6323529411764706,0.4095398699108648,0.5904601300891351,12.84,2.442753294110298,1.402485946976848,0.0712074434106193,0.9287925565893806,2.2800000000000002,1.5813953488372094
Pascal Siakam,IND,@TOR,AST,3.5,-140,105,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,36.2,4.495526519417763,2.418142212251773,0.6597169074920509,0.3402830925079491,1.7142857142857144,2.05
Pascal Siakam,IND,@TOR,PTS,22.5,-123,-103,0.5515695067264574,0.5073891625615764,0.520860277858901,0.4791397221410989,36.2,25.131985485553745,7.39808036655993,0.638992094605518,0.361007905394482,1.8130081300813008,1.970873786407767
