game_date,book,player,team,opponent,market,line,lineup_status,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-04,betrivers,Miles Bridges,CHA,@NOP,AST,,EXPECTED,-124,-108.0,0.5535714285714286,0.5192307692307693,0.5160051216389244,0.4839948783610755,,,,0.0,25.6,3.4065656661987305,0.0,0.9
2025-11-04,betrivers,Miles Bridges,CHA,@NOP,REB,,EXPECTED,-124,-108.0,0.5535714285714286,0.5192307692307693,0.5160051216389244,0.4839948783610755,,,,0.0,25.6,6.330615520477295,0.0,0.9
2025-11-04,mgm,Moses Moody,GSW,PHX,AST,,EXPECTED,-115,-115.0,0.5348837209302325,0.5348837209302325,0.5,0.5,,,,0.0,22.2,1.2330737113952637,0.0,0.9
2025-11-04,draftkings,Moses Moody,GSW,PHX,REB,,EXPECTED,-130,100.0,0.5652173913043478,0.5,0.5306122448979592,0.4693877551020409,,,,0.0,22.2,2.9656453132629395,0.0,0.9
2025-11-04,mgm,Moussa Diabate,CHA,@NOP,AST,,EXPECTED,-110,-120.0,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,,,,0.0,17.0,1.0150232315063477,0.0,0.9
2025-11-04,caesars,Moussa Diabate,CHA,@NOP,REB,,EXPECTED,-121,-112.0,0.5475113122171946,0.5283018867924528,0.5089278628680263,0.49107213713197356,,,,0.0,17.0,4.787630558013916,0.0,0.9
2025-11-04,mgm,Myles Turner,MIL,@TOR,AST,,EXPECTED,-140,105.0,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,,,,0.0,30.6,1.7059818506240845,0.0,0.9
2025-11-04,betrivers,Myles Turner,MIL,@TOR,REB,,EXPECTED,-112,,0.5283018867924528,,,,,,,0.0,30.6,6.290822982788086,0.0,0.9
2025-11-04,betrivers,Nickeil Alexander-Walker,ATL,ORL,AST,,EXPECTED,100,,0.5,,,,,,,0.0,23.6,3.3999269008636475,0.0,0.9
2025-11-04,betrivers,Nickeil Alexander-Walker,ATL,ORL,REB,,EXPECTED,-114,,0.5327102803738317,,,,,,,0.0,23.6,3.1298539638519287,0.0,0.9
