player,team,opponent,market,line,p_over_model,over_dec,under_dec,ProjMins,ProjMean,ProjSD,POverImp,PUnderImp,POverFair,PUnderFair,p_under_model,p_over_imp,p_under_imp,p_over_fair,p_under_fair,edge_under,EV_under_1u
Keyonte George,UTA,@DET,AST,7.5,0.0636689059597122,2.1,1.6849315068493151,31.4,4.295095807313919,2.102011407532028,0.4761904761904761,0.5934959349593496,0.4451682953311618,0.5548317046688382,0.9363310940402878,0.47619047619047616,0.5934959349593496,0.4451682953311618,0.5548317046688382,0.38149938937144956,0.57765376119117
Ben Sheppard,IND,BKN,PTS,7.5,0.1010306527227313,1.9803921568627447,1.7692307692307692,13.8,3.8844332456588746,2.834180830185092,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,0.8989693472772687,0.5049504950495051,0.5652173913043479,0.4718423169750603,0.5281576830249396,0.37081166425232914,0.5904842297982447
Jaylen Brown,BOS,WAS,PTS,25.5,0.1209202793289154,1.9090909090909087,1.819672131147541,27.4,18.64312206506729,5.858583007657768,0.5238095238095238,0.5495495495495496,0.488009592326139,0.511990407673861,0.8790797206710846,0.523809523809524,0.5495495495495495,0.48800959232613916,0.5119904076738608,0.3670893129972238,0.5996368687621376
Isaiah Stewart,DET,UTA,REB,8.5,0.0781199934021212,2.12,1.6896551724137931,22.0,5.374194324016571,2.2046384491085345,0.4716981132075472,0.5918367346938775,0.4435191889934829,0.5564808110065169,0.9218800065978788,0.4716981132075471,0.5918367346938775,0.44351918899348297,0.556480811006517,0.3653991955913618,0.5576593214929677
Tyrese Maxey,PHI,@CLE,PTS,30.5,0.1486614837057822,1.847457627118644,1.8928571428571428,38.0,22.6605327129364,7.52209966284672,0.5412844036697247,0.5283018867924528,0.5060689431946916,0.4939310568053083,0.8513385162942178,0.5412844036697247,0.5283018867924528,0.5060689431946916,0.4939310568053083,0.35740745948890945,0.6114621915569122
Nic Claxton,BKN,@IND,REB,7.5,0.1563246057716463,1.847457627118644,1.8928571428571428,21.4,5.313315168023109,2.165723269874262,0.5412844036697247,0.5283018867924528,0.5060689431946916,0.4939310568053083,0.8436753942283537,0.5412844036697247,0.5283018867924528,0.5060689431946916,0.4939310568053083,0.3497443374230454,0.5969569962179552
Simone Fontecchio,MIA,@DEN,PTS,7.5,0.1259810590040933,2.0,1.7462686567164178,10.0,4.467887878417969,2.6467538454934707,0.5,0.5726495726495726,0.4661354581673307,0.5338645418326693,0.8740189409959067,0.5,0.5726495726495727,0.4661354581673306,0.5338645418326693,0.3401543991632374,0.5262718820376281
Marcus Smart,LAL,SAS,AST,3.5,0.1633896905930418,1.8771929824561404,1.8771929824561404,15.4,2.3431256830692293,1.179735713780952,0.5327102803738317,0.5327102803738317,0.5,0.5,0.8366103094069582,0.5327102803738317,0.5327102803738317,0.5,0.5,0.33661030940695824,0.5704790018692024
Mitchell Robinson,NYK,MIN,REB,6.5,0.1776872764987872,1.8403361344537816,1.9174311926605505,16.4,4.747789216041564,1.8958915264032108,0.54337899543379,0.5215311004784688,0.5102580936358787,0.4897419063641212,0.8223127235012128,0.5433789954337899,0.5215311004784688,0.5102580936358786,0.48974190636412124,0.3325708171370915,0.5767280661628759
Payton Pritchard,BOS,WAS,AST,5.5,0.1349561467117475,2.04,1.7246376811594204,27.8,3.443280702829361,1.8642122449764955,0.4901960784313725,0.5798319327731093,0.4581151832460733,0.5418848167539267,0.8650438532882525,0.49019607843137253,0.5798319327731092,0.4581151832460733,0.5418848167539266,0.32315903653432587,0.4918872252362617
