Player,Team,Opponent,Market,Line,OverOdds,UnderOdds,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel
Josh Hart,NYK,@MIA,REB,8.5,110,-145,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,28.96,6.425879666805267,2.7554491735138384,0.22580488118254627,0.7741951188174537
Julius Randle,MIN,DAL,AST,5.5,105,-140,0.4878048780487805,0.5833333333333334,0.4554079696394686,0.5445920303605313,31.2,5.648054802417755,2.166672170794416,0.5272396475738695,0.47276035242613046
Julius Randle,MIN,DAL,PTS,22.5,-121,-110,0.5475113122171946,0.5238095238095238,0.5110619469026548,0.48893805309734506,31.2,23.041471481323242,6.619616034690258,0.5325963344859783,0.4674036655140217
Julius Randle,MIN,DAL,REB,7.5,115,-155,0.46511627906976744,0.6078431372549019,0.43348916277093075,0.5665108372290693,31.2,7.972075724601745,2.9926732639428653,0.562670666883484,0.437329333116516
Karl-Anthony Towns,NYK,@MIA,AST,3.5,-102,-130,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,33.480000000000004,4.4838645708560945,2.2486429631709077,0.6691390375860674,0.3308609624139326
Karl-Anthony Towns,NYK,@MIA,PTS,28.5,-108,-118,0.5192307692307693,0.5412844036697247,0.4896023956080519,0.510397604391948,33.480000000000004,27.032098832130437,7.1329617739223306,0.41847698556244595,0.581523014437554
Karl-Anthony Towns,NYK,@MIA,REB,12.5,102,-136,0.49504950495049505,0.576271186440678,0.46209273182957394,0.5379072681704261,33.480000000000004,10.939803868532183,3.2969914536731544,0.31802878206306395,0.681971217936936
Kel'el Ware,MIA,NYK,AST,0.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,28.4,1.3487698718905448,1.8575494401692279,0.6761392824489225,0.3238607175510775
Kel'el Ware,MIA,NYK,PTS,12.5,-114,-117,0.5327102803738317,0.5391705069124424,0.4969864995178399,0.5030135004821601,28.4,13.010951304435729,5.6602252847720145,0.5359638646335888,0.4640361353664112
Kel'el Ware,MIA,NYK,REB,10.5,-102,-130,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,28.4,9.597746741771697,2.91223802874357,0.3783510527397289,0.6216489472602711
Kevin Huerter,CHI,@DEN,AST,2.5,-156,118,0.609375,0.45871559633027525,0.5705274459804054,0.4294725540195947,22.96,2.6298282104730606,1.5686410792955576,0.5329807068311875,0.4670192931688125
Kevin Huerter,CHI,@DEN,PTS,12.5,-117,-109,0.5391705069124424,0.5215311004784688,0.5083149711054754,0.4916850288945246,22.96,12.718269395828248,4.892107404751365,0.5177935605413486,0.4822064394586514
Kevin Huerter,CHI,@DEN,REB,3.5,142,-192,0.4132231404958678,0.6575342465753424,0.3859166842884331,0.6140833157115669,22.96,3.4702001607418063,2.1516046214703715,0.4944748046918005,0.5055251953081995
Kon Knueppel,CHA,@TOR,AST,2.5,-129,-102,0.5633187772925764,0.504950495049505,0.5273190869354056,0.47268091306459453,34.0,2.390785351395607,2.2306058905546924,0.4804748390864019,0.5195251609135981
Kon Knueppel,CHA,@TOR,PTS,17.5,110,-150,0.47619047619047616,0.6,0.4424778761061947,0.5575221238938053,34.0,14.784349024295807,6.6292955136624165,0.3410335661865961,0.6589664338134039
Kon Knueppel,CHA,@TOR,REB,4.5,-160,120,0.6153846153846154,0.45454545454545453,0.5751633986928104,0.4248366013071895,34.0,5.313727587461472,3.1143094329444376,0.6030642830305435,0.3969357169694565
Kris Dunn,LAC,@PHI,AST,2.5,-135,102,0.574468085106383,0.49504950495049505,0.5371282253299192,0.4628717746700807,27.48,2.668775346279144,1.8329437272416116,0.5366823029267486,0.46331769707325143
Kris Dunn,LAC,@PHI,PTS,7.5,-124,-103,0.5535714285714286,0.5073891625615764,0.5217643644805572,0.47823563551944287,27.48,8.79067608833313,5.323045162379602,0.5957918055737883,0.4042081944262117
Kris Dunn,LAC,@PHI,REB,2.5,-155,115,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,27.48,2.6109468001127243,2.4926994748285507,0.517750539294182,0.482249460705818
Kyle Kuzma,MIL,@CLE,AST,1.5,-145,105,0.5918367346938775,0.4878048780487805,0.5481788842784694,0.45182111572153066,28.92,1.4589701780676843,1.8925222218573547,0.49135162146654465,0.5086483785334553
Kyle Kuzma,MIL,@CLE,PTS,12.5,-104,-128,0.5098039215686274,0.5614035087719298,0.47591522157996147,0.5240847784200385,28.92,12.95295505642891,5.737734196666104,0.5314610961978384,0.46853890380216157
Kyle Kuzma,MIL,@CLE,REB,4.5,118,-157,0.45871559633027525,0.6108949416342413,0.4288622634582652,0.5711377365417348,28.92,4.933985915780068,2.6868000127276845,0.5641601183238931,0.4358398816761069
LaMelo Ball,CHA,@TOR,AST,7.5,-125,-105,0.5555555555555556,0.5121951219512195,0.5203045685279188,0.4796954314720812,33.68,11.162143440246583,2.595059371999975,0.9209069281027857,0.07909307189721426
LaMelo Ball,CHA,@TOR,PTS,19.5,-125,-106,0.5555555555555556,0.5145631067961165,0.5191532258064516,0.4808467741935484,33.68,26.15485224723816,7.105581427127896,0.8255093030995948,0.1744906969004052
LaMelo Ball,CHA,@TOR,REB,4.5,-140,105,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,33.68,7.559794424772263,3.159614348746024,0.8335795675580646,0.16642043244193538
Landry Shamet,NYK,@MIA,AST,1.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.48987854251012153,25.88,1.7896614098548889,1.7078151735024705,0.5673413128891333,0.43265868711086675
Landry Shamet,NYK,@MIA,PTS,12.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.48987854251012153,25.88,13.621716423034668,5.330776513869224,0.5833311140251943,0.41666888597480567
Landry Shamet,NYK,@MIA,REB,2.5,-118,-110,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.49179655455291227,25.88,3.101656740605831,2.371326462063856,0.6001446766349843,0.3998553233650157
Lonzo Ball,CLE,MIL,AST,4.5,-130,100,0.5652173913043478,0.5,0.5306122448979592,0.4693877551020409,22.4,4.037508630752563,1.6416129651584361,0.38907533332102684,0.6109246666789732
Lonzo Ball,CLE,MIL,PTS,6.5,-121,-105,0.5475113122171946,0.5121951219512195,0.5166631951676735,0.4833368048323266,22.4,7.564193820953369,4.431612545702269,0.5948879462309192,0.40511205376908077
Lonzo Ball,CLE,MIL,REB,3.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,22.4,3.643764305114746,2.118857529479061,0.5270474459180481,0.4729525540819519
