game_date,book,player,team,opponent,market,line,over_dec,under_dec,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-23,mgm,Jusuf Nurkic,UTA,LAL,PTS,9.5,1.9090909090909092,1.847457627118644,0.5238095238095238,0.5412844036697247,0.49179655455291227,0.5082034454470877,0.9541795926181544,0.46238303806524217,0.8216155859073857,0.25,21.44378698224852,18.676646139494764,5.440252452064132,0.7
2025-11-23,fanduel,James Harden,LAC,@CLE,PTS,24.5,1.9433962264150944,1.8333333333333335,0.5145631067961165,0.5454545454545454,0.48542880932556204,0.5145711906744379,0.6572050225762877,0.17177621325072562,0.2772097608558043,0.25,24.91665483458754,27.149697176624432,6.544934174552802,0.7
2025-11-23,mgm,Scottie Barnes,TOR,BKN,PTS,18.5,1.9090909090909092,1.8333333333333335,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,0.6238794267494732,0.13400088423935164,0.1910425419762669,0.21014679617389362,27.61281433000345,20.407804284800427,6.043367817150333,0.7
2025-11-23,caesars,Isaiah Joe,OKC,POR,PTS,12.5,1.8928571428571428,1.8333333333333335,0.5283018867924528,0.5454545454545454,0.4920127795527157,0.5079872204472844,0.6083052636201647,0.11629248406744896,0.151434963281026,0.169607158874749,21.40231449965963,13.833269173795467,4.849932644601529,0.7
2025-11-23,mgm,Ajay Mitchell,OKC,POR,PTS,14.5,1.9090909090909092,1.8333333333333335,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,0.5866885444480378,0.09681000193791622,0.12004176667352662,0.1320459433408794,23.36283185840708,15.641380959907465,5.210956297793694,0.7
2025-11-23,mgm,Day'Ron Sharpe,BKN,@TOR,PTS,6.5,2.05,1.7142857142857144,0.4878048780487805,0.5833333333333334,0.4554079696394686,0.5445920303605313,0.5237407727361356,0.068332803096667,0.07366858410907806,0.07016055629435984,12.758705333660625,6.693824049458079,3.2551147549899158,0.7
2025-11-23,fanduel,Jamal Shead,TOR,BKN,PTS,6.5,1.9433962264150944,1.8333333333333335,0.5145631067961165,0.5454545454545454,0.48542880932556204,0.5145711906744379,0.5390582434197072,0.05362943409414517,0.04760375607980838,0.05045998144459688,16.369273165690668,6.847188956483743,3.5405250723418997,0.7
2025-11-23,mgm,Marcus Smart,LAL,@UTA,PTS,6.5,1.8333333333333335,1.9090909090909092,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.48987854251012153,0.55813267645165,0.04801121896177141,0.023243240161358314,0.027891888193630174,16.209606986899562,7.0185211548118085,3.5457697029273434,0.7
2025-11-23,betrivers,Ajay Mitchell,OKC,POR,REB,2.5,1.7092198581560285,2.0700000000000003,0.5850622406639004,0.4830917874396135,0.5477320922551466,0.4522679077448533,0.6224285816622706,0.07469648940712392,0.06386729206104402,0.09005288180607222,23.36283185840708,3.1767228430351326,2.169919760761656,0.7
2025-11-23,mgm,Marcus Smart,LAL,@UTA,REB,1.5,2.0,1.7407407407407407,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,0.5363519243330632,0.07100538967959791,0.07270384866612645,0.07270384866612645,16.209606986899562,1.6380754204296128,1.5132013107213653,0.7
2025-11-23,draftkings,Luka Doncic,LAL,@UTA,REB,7.5,1.8333333333333335,1.9174311926605505,0.5454545454545454,0.5215311004784688,0.5112107623318386,0.4887892376681614,0.5776924858261486,0.06648172349431003,0.0591028906812725,0.070923468817527,22.358078602620086,7.990640032239355,2.5033448143197146,0.7
2025-11-23,mgm,Svi Mykhailiuk,UTA,LAL,REB,1.5,1.6451612903225805,2.15,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,0.6165010955953073,0.04999025836623805,0.014243737914860388,0.022077793768033517,19.02958579881657,2.0222623214213806,1.7625885518432574,0.7
