game_date,book,player,team,opponent,market,line,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-26,mgm,Clint Capela,HOU,@GSW,AST,0.5,110,-145,0.47619047619047616,0.5918367346938775,0.4458598726114649,0.554140127388535,0.524807991504936,0.07894811889347103,0.10209678216036555,0.09281525650942322,13.0,0.5539257489144802,0.8666314826460566,0.7
2025-11-26,mgm,Clint Capela,HOU,@GSW,PTS,5.5,-110,-118,0.5238095238095238,0.5412844036697247,0.49179655455291227,0.5082034454470877,0.3613777485403902,-0.1304188060125221,-0.3100970255138006,0.0,13.0,4.4922581017017365,2.8404814520425123,0.7
2025-11-26,draftkings,Clint Capela,HOU,@GSW,REB,6.5,102,-134,0.49504950495049505,0.5726495726495726,0.46366014107949594,0.5363398589205041,0.2269417236025224,-0.23671841747697353,-0.5415777183229047,0.0,13.0,5.006245464086533,1.994447756570693,0.7
2025-11-26,mgm,Collin Gillespie,PHX,@SAC,AST,5.5,105,-140,0.4878048780487805,0.5833333333333334,0.4554079696394686,0.5445920303605313,0.3009377063524047,-0.15447026328706392,-0.38307770197757035,0.0,30.36,4.418766734004021,2.07249745248023,0.7
2025-11-26,fanduel,Collin Gillespie,PHX,@SAC,PTS,14.5,100,-132,0.5,0.5689655172413793,0.4677419354838709,0.532258064516129,0.2983595518476132,-0.16938238363625768,-0.4032808963047736,0.0,30.36,11.370076253414155,5.915288162091666,0.7
2025-11-26,fanduel,Collin Gillespie,PHX,@SAC,REB,4.5,122,-162,0.45045045045045046,0.6183206106870229,0.421465800141561,0.5785341998584389,0.5482165478078106,0.1267507476662496,0.21704073613333952,0.17790224273224534,30.36,4.8400119656324385,2.80638141386206,0.7
2025-11-26,mgm,Collin Murray-Boyles,TOR,IND,AST,0.5,-200,145,0.6666666666666666,0.40816326530612246,0.6202531645569621,0.37974683544303806,0.6889824016151889,0.06872923705822676,0.0334736024227833,0.0669472048455666,18.2,1.0984106279909611,1.2138934487121618,0.7
2025-11-26,mgm,Collin Murray-Boyles,TOR,IND,PTS,5.5,-130,-105,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,0.5585290764357836,0.03392277722318515,-0.011833172459767394,0.0,18.2,6.043606615066528,3.691952892533223,0.7
2025-11-26,mgm,Collin Murray-Boyles,TOR,IND,REB,3.5,125,-160,0.4444444444444444,0.6153846153846154,0.4193548387096774,0.5806451612903226,0.41559912717149383,-0.003755711538183548,-0.06490196386413882,0.0,18.2,3.1194302916526793,1.7853291103635267,0.7
2025-11-26,draftkings,Collin Sexton,CHA,NYK,AST,3.5,-124,-107,0.5535714285714286,0.5169082125603864,0.5171246675799823,0.48287533242001773,0.5289026893782951,0.011778021798312777,-0.04456288370372502,0.0,24.4,3.6239532709121702,1.7094222458296138,0.7
2025-11-26,caesars,Collin Sexton,CHA,NYK,PTS,12.5,-124,-108,0.5535714285714286,0.5192307692307693,0.5160051216389244,0.4839948783610755,0.6562504269196279,0.14024530528070345,0.18548464217739224,0.23000095629996653,24.4,14.60254225730896,5.226938100784383,0.7
2025-11-26,fanduel,Collin Sexton,CHA,NYK,REB,2.5,140,-188,0.4166666666666667,0.6527777777777778,0.38961038961038963,0.6103896103896104,0.43318096050051935,0.04357057089012972,0.039634305201246445,0.02831021800089032,24.4,2.126298931241035,2.2206917196897176,0.7
