Player,Team,Opponent,Market,line_dfD,OverOdds,UnderOdds,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel
Isaac Okoro,CHI,PHI,AST,1.5,155,-210,0.39215686274509803,0.6774193548387096,0.3666469544648137,0.6333530455351862,22.4,1.4243683815002441,1.466946541328952,0.47944077194781654
Isaac Okoro,CHI,PHI,PTS,6.5,-137,100,0.5780590717299579,0.5,0.5362035225048923,0.4637964774951076,22.4,7.122224426269531,4.389155238930945,0.5563668097372347
Isaac Okoro,CHI,PHI,REB,2.5,134,-175,0.42735042735042733,0.6363636363636364,0.4017531044558072,0.5982468955441929,22.4,3.3482869148254393,2.0836631123362133,0.6580376032892471
Isaiah Hartenstein,OKC,@LAC,AST,2.5,-145,105,0.5918367346938775,0.4878048780487805,0.5481788842784694,0.45182111572153066,23.0,3.319591596722603,1.6003193222824021,0.6957243717291729
Isaiah Hartenstein,OKC,@LAC,PTS,9.5,-120,-110,0.5454545454545454,0.5238095238095238,0.5101214574898786,0.48987854251012153,23.0,10.346335291862488,4.690411366351626,0.5715962107693011
Isaiah Hartenstein,OKC,@LAC,REB,8.5,-128,-104,0.5614035087719298,0.5098039215686274,0.5240847784200385,0.47591522157996147,23.0,7.890324175357819,2.4975679628196974,0.4035736652626798
Ivica Zubac,LAC,OKC,AST,2.5,114,-148,0.4672897196261682,0.5967741935483871,0.43915568777447234,0.5608443122255278,33.0,3.486253559589386,2.1708384168237584,0.6752004484074411
Ivica Zubac,LAC,OKC,PTS,14.5,-101,-127,0.5024875621890548,0.5594713656387665,0.47317042968588763,0.5268295703141123,33.0,17.202548503875732,6.537152036793646,0.6603482469598424
Ivica Zubac,LAC,OKC,REB,11.5,107,-139,0.4830917874396135,0.5815899581589958,0.45374290433428893,0.5462570956657111,33.0,13.052225947380066,3.3655740607697555,0.6776749107230658
Jakob Poeltl,TOR,MIL,AST,2.5,145,-200,0.40816326530612246,0.6666666666666666,0.37974683544303806,0.6202531645569621,25.8,2.1325877487659457,1.6972559087729884,0.4143090356324487
Jakob Poeltl,TOR,MIL,PTS,8.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,25.8,12.235612803697586,5.211369782959895,0.763257339257436
Jakob Poeltl,TOR,MIL,REB,6.5,-143,108,0.588477366255144,0.4807692307692308,0.5503663681444749,0.4496336318555252,25.8,7.73645875453949,2.612079823241265,0.6820224536556345
Jalen Johnson,ATL,ORL,AST,5.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,35.4,4.056276199221611,2.3298022291674014,0.26773537965346283
Jalen Johnson,ATL,ORL,PTS,19.5,-121,-105,0.5475113122171946,0.5121951219512195,0.5166631951676735,0.4833368048323266,35.4,18.775325775146484,6.972967668736878,0.45861394660221755
Jalen Johnson,ATL,ORL,REB,8.5,-124,-107,0.5535714285714286,0.5169082125603864,0.5171246675799823,0.48287533242001773,35.4,8.714791443943977,3.305767720333488,0.5259029493647212
Jalen Smith,CHI,PHI,AST,0.5,-200,145,0.6666666666666666,0.40816326530612246,0.6202531645569621,0.37974683544303806,14.6,1.0560019806027412,0.9880161432211866,0.713196019651832
Jalen Smith,CHI,PHI,PTS,8.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,14.6,8.1881196975708,3.602058092121314,0.4655011247378896
Jalen Smith,CHI,PHI,REB,5.5,115,-150,0.46511627906976744,0.6,0.43668122270742354,0.5633187772925764,14.6,5.695748078823089,2.0884666802538554,0.5373374383767184
Jalen Suggs,ORL,@ATL,AST,2.5,-155,115,0.6078431372549019,0.46511627906976744,0.5665108372290693,0.43348916277093075,23.6,3.3391748428344727,1.631761121608793,0.6964703221274732
