book,name,team,opponent,game_date,prop_type,line,pick_side,pick_edge_bp,pick_prob,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pred_mean,resid_sd_used,kelly_frac
draftkings,Ryan Dunn,PHX,LAC,2025-11-06,reb,4.5,Under,17.8941,0.6288,-141.0,109.0,0.5501,0.4499,0.3712,3.47,3.1331,0.02
caesars,Royce O'Neale,PHX,LAC,2025-11-06,reb,4.5,Under,17.5597,0.6288,-143.0,105.0,0.5468,0.4532,0.3712,3.47,3.1331,0.02
draftkings,Jalen Green,PHX,LAC,2025-11-06,ptsast,15.5,Under,17.1533,0.6705,-114.0,-113.0,0.501,0.499,0.3295,11.0496,10.0849,0.02
draftkings,Jalen Green,PHX,LAC,2025-11-06,pts,12.5,Under,16.6153,0.6558,-118.0,-108.0,0.5104,0.4896,0.3442,8.9741,8.7949,0.02
hardrock,Bradley Beal,LAC,PHX,2025-11-06,ptsreb,15.5,Under,15.5252,0.6362,-130.0,-110.0,0.519,0.481,0.3638,11.78,10.6767,0.02
hardrock,Ivica Zubac,LAC,PHX,2025-11-06,ast,2.5,Under,15.4098,0.6254,-135.0,-105.0,0.5287,0.4713,0.3746,1.7665,2.2935,0.02
hardrock,Mark Williams,PHX,LAC,2025-11-06,ptsast,15.5,Under,15.0196,0.6705,-105.0,-125.0,0.4797,0.5203,0.3295,11.0496,10.0849,0.02
draftkings,Jalen Green,PHX,LAC,2025-11-06,pra,18.5,Under,14.0592,0.6303,-119.0,-109.0,0.5103,0.4897,0.3697,14.5196,11.9626,0.02
draftkings,Derrick Jones,LAC,PHX,2025-11-06,pts,11.5,Under,13.5857,0.6317,-115.0,-111.0,0.5042,0.4958,0.3683,8.5417,8.7949,0.02
draftkings,Derrick Jones,LAC,PHX,2025-11-06,ptsreb,15.5,Under,13.1081,0.6362,-111.0,-116.0,0.4948,0.5052,0.3638,11.78,10.6767,0.02
caesars,Bogdan Bogdanovic,LAC,PHX,2025-11-06,pts,11.5,Under,12.771,0.6317,-114.0,-118.0,0.496,0.504,0.3683,8.5417,8.7949,0.02
draftkings,Jalen Green,PHX,LAC,2025-11-06,ptsreb,15.5,Under,12.7022,0.6126,-121.0,-107.0,0.5144,0.4856,0.3874,12.4441,10.6767,0.02
hardrock,Jalen Green,PHX,LAC,2025-11-06,ast,2.5,Under,12.1599,0.5734,-145.0,105.0,0.5482,0.4518,0.4266,2.0755,2.2935,0.02
draftkings,Royce O'Neale,PHX,LAC,2025-11-06,ast,2.5,Under,11.9677,0.5734,-139.0,107.0,0.5463,0.4537,0.4266,2.0755,2.2935,0.02
hardrock,Brook Lopez,LAC,PHX,2025-11-06,3pm,1.5,Under,11.9105,0.6707,105.0,-150.0,0.4484,0.5516,0.3293,0.896,1.3673,0.02
draftkings,Chris Paul,LAC,PHX,2025-11-06,3pm,1.5,Under,11.606,0.6707,111.0,-144.0,0.4454,0.5546,0.3293,0.896,1.3673,0.02
draftkings,Jalen Green,PHX,LAC,2025-11-06,3pm,1.5,Under,11.2085,0.5658,-139.0,107.0,0.5463,0.4537,0.4342,1.2734,1.3673,0.02
draftkings,John Collins,LAC,PHX,2025-11-06,3pm,1.5,Under,11.166,0.6707,113.0,-147.0,0.441,0.559,0.3293,0.896,1.3673,0.02
draftkings,Collin Gillespie,PHX,LAC,2025-11-06,ptsast,13.5,Under,10.4193,0.596,-118.0,-110.0,0.5082,0.4918,0.404,11.0496,10.0849,0.02
caesars,Chris Paul,LAC,PHX,2025-11-06,ptsast,13.5,Under,10.3279,0.6242,-106.0,-127.0,0.4791,0.5209,0.3758,10.3082,10.0849,0.02
fanduel,Brook Lopez,LAC,PHX,2025-11-06,pts,6.5,Over,10.191,0.5918,-110.0,-120.0,0.4899,0.5101,0.5918,8.5417,8.7949,0.02
fanduel,Chris Paul,LAC,PHX,2025-11-06,pts,6.5,Over,9.1789,0.5918,-114.0,-114.0,0.5,0.5,0.5918,8.5417,8.7949,0.02
caesars,Kris Dunn,LAC,PHX,2025-11-06,3pm,1.5,Under,8.9929,0.6707,120.0,-170.0,0.4193,0.5807,0.3293,0.896,1.3673,0.02
hardrock,Collin Gillespie,PHX,LAC,2025-11-06,reb,3.5,Over,8.7421,0.4962,125.0,-180.0,0.4088,0.5912,0.4962,3.47,3.1331,0.02
draftkings,Royce O'Neale,PHX,LAC,2025-11-06,pra,17.5,Under,7.9869,0.5984,-105.0,-123.0,0.4815,0.5185,0.4016,14.5196,11.9626,0.02
fanduel,Brook Lopez,LAC,PHX,2025-11-06,ptsreb,9.5,Over,7.848,0.5845,-118.0,-112.0,0.5061,0.4939,0.5845,11.78,10.6767,0.02
hardrock,Brook Lopez,LAC,PHX,2025-11-06,pts,7.5,Over,7.1749,0.5471,-105.0,-130.0,0.4754,0.5246,0.5471,8.5417,8.7949,0.02
caesars,Royce O'Neale,PHX,LAC,2025-11-06,ptsreb,14.5,Under,6.9407,0.5763,-113.0,-120.0,0.4931,0.5069,0.4237,12.4441,10.6767,0.02
hardrock,Royce O'Neale,PHX,LAC,2025-11-06,ptsreb,13.5,Under,6.8045,0.5394,-135.0,-105.0,0.5287,0.4713,0.4606,12.4441,10.6767,0.02
fanduel,Ryan Dunn,PHX,LAC,2025-11-06,ptsreb,13.5,Under,6.7549,0.5394,-130.0,-102.0,0.5282,0.4718,0.4606,12.4441,10.6767,0.02
caesars,Derrick Jones,LAC,PHX,2025-11-06,reb,3.5,Under,5.9066,0.5333,-130.0,-104.0,0.5258,0.4742,0.4667,3.2382,3.1331,0.02
hardrock,Ryan Dunn,PHX,LAC,2025-11-06,3pm,1.5,Over,5.8187,0.4342,145.0,-210.0,0.376,0.624,0.4342,1.2734,1.3673,0.02
hardrock,Jalen Green,PHX,LAC,2025-11-06,reb,2.5,Over,4.916,0.6216,-165.0,115.0,0.5724,0.4276,0.6216,3.47,3.1331,0.0
hardrock,Ryan Dunn,PHX,LAC,2025-11-06,pts,8.5,Over,4.1799,0.5215,-105.0,-125.0,0.4797,0.5203,0.5215,8.9741,8.7949,0.0191
draftkings,Grayson Allen,PHX,LAC,2025-11-06,reb,3.5,Over,4.1687,0.4962,107.0,-138.0,0.4545,0.5455,0.4962,3.47,3.1331,0.02
hardrock,Brook Lopez,LAC,PHX,2025-11-06,reb,2.5,Over,4.157,0.5931,-150.0,105.0,0.5516,0.4484,0.5931,3.2382,3.1331,0.0
hardrock,Oso Ighodaro,PHX,LAC,2025-11-06,reb,3.5,Over,3.8236,0.4962,100.0,-145.0,0.4579,0.5421,0.4962,3.47,3.1331,0.0
fanduel,Devin Booker,PHX,LAC,2025-11-06,reb,3.5,Over,3.8065,0.4962,104.0,-138.0,0.4581,0.5419,0.4962,3.47,3.1331,0.0117
caesars,Royce O'Neale,PHX,LAC,2025-11-06,ptsast,12.5,Under,3.4563,0.5572,-106.0,-129.0,0.4774,0.5226,0.4428,11.0496,10.0849,0.0
hardrock,Collin Gillespie,PHX,LAC,2025-11-06,pts,9.5,Under,3.3964,0.5238,-120.0,-110.0,0.5101,0.4899,0.4762,8.9741,8.7949,0.0001
draftkings,Ryan Dunn,PHX,LAC,2025-11-06,ptsast,10.5,Over,3.1988,0.5217,-109.0,-119.0,0.4897,0.5103,0.5217,11.0496,10.0849,0.0004
hardrock,Collin Gillespie,PHX,LAC,2025-11-06,ptsreb,12.5,Under,3.0743,0.5021,-135.0,-105.0,0.5287,0.4713,0.4979,12.4441,10.6767,0.0
caesars,Ryan Dunn,PHX,LAC,2025-11-06,pra,15.5,Under,3.0664,0.5327,-115.0,-117.0,0.498,0.502,0.4673,14.5196,11.9626,0.0
hardrock,Royce O'Neale,PHX,LAC,2025-11-06,pts,8.5,Under,2.9068,0.4785,-140.0,110.0,0.5506,0.4494,0.5215,8.9741,8.7949,0.0044
draftkings,Kris Dunn,LAC,PHX,2025-11-06,reb,3.5,Under,2.6067,0.5333,-110.0,-117.0,0.4928,0.5072,0.4667,3.2382,3.1331,0.0
