Player,Market,OverDecimal,POverModel,Team,Opponent,line_dfD,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u,label,_color
Rui Hachimura,PTS,1.78125,0.8498235743847855,LAL,SAS,11.5,18.25645670890808,6.523710232891896,32.6,0.5614035087719298,0.5289256198347108,0.5614035087719298,0.2884200656128557,0.5137482418728991,Rui Hachimura o11.5,C0
Rudy Gobert,REB,1.7575757575757576,0.8510772905617949,MIN,@NYK,9.5,13.124002814292908,3.481053623476748,35.0,0.5689655172413793,0.528604118993135,0.5689655172413793,0.2821117733204156,0.4958328137146699,Rudy Gobert o9.5,C1
Andrew Wiggins,PTS,1.9433962264150944,0.7948955111952454,MIA,@DEN,16.5,21.81059557199478,6.448607598510918,30.6,0.5145631067961165,0.4808467741935484,0.5145631067961165,0.2803324043991289,0.5447969368511373,Andrew Wiggins o16.5,C0
Naji Marshall,AST,2.43,0.6809004024963168,DAL,NOP,2.5,3.53842602968216,2.208392238193691,33.6,0.411522633744856,0.38710025491968,0.4115226337448559,0.26937776875146086,0.6545879780660498,Naji Marshall o2.5,C2
Jusuf Nurkic,PTS,1.8,0.823191654203622,UTA,@DET,10.5,15.08866935968399,4.9468354398772805,21.0,0.5555555555555556,0.5191532258064516,0.5555555555555556,0.26763609864806637,0.48174497756651957,Jusuf Nurkic o10.5,C0
Donovan Clingan,REB,1.8928571428571428,0.7937394560746933,POR,OKC,8.5,10.954277443885802,2.994974830416819,28.4,0.5283018867924528,0.4969046636401156,0.5283018867924528,0.2654375692822405,0.5024353989985266,Donovan Clingan o8.5,C1
DeMar DeRozan,AST,2.21,0.7122149797633132,SAC,GSW,4.5,5.878876757621764,2.4628640887193045,36.8,0.4524886877828054,0.424915181659475,0.45248868778280543,0.25972629198050773,0.5739951052769221,DeMar DeRozan o4.5,C2
Aaron Gordon,AST,1.7575757575757576,0.8282033079988913,DEN,MIA,2.5,4.872981995344162,2.505553091378746,38.0,0.5689655172413793,0.528604118993135,0.5689655172413793,0.25923779075751197,0.4556300564828999,Aaron Gordon o2.5,C2
Rudy Gobert,PTS,1.8771929824561404,0.7875766144518983,MIN,@NYK,10.5,15.932208150625229,6.806929732136102,35.0,0.5327102803738317,0.5020774472328402,0.5327102803738317,0.2548663340780666,0.4784332937956688,Rudy Gobert o10.5,C0
Kyle Filipowski,PTS,1.925925925925926,0.7730170036659525,UTA,@DET,8.5,12.75974292755127,5.68861095643381,28.8,0.5192307692307693,0.485816177662506,0.5192307692307692,0.25378623443518333,0.48877348854183456,Kyle Filipowski o8.5,C0
Cameron Johnson,PTS,1.8333333333333333,0.7985327803294073,DEN,MIA,11.5,16.61979236602783,6.1212836411257285,30.4,0.5454545454545454,0.5101214574898786,0.5454545454545455,0.2530782348748618,0.46397676393724674,Cameron Johnson o11.5,C0
Josh Hart,PTS,1.8849557522123892,0.7794839863961662,NYK,MIN,8.5,14.01340920329094,7.156074267761805,37.4,0.5305164319248826,0.4949766918501849,0.5305164319248826,0.2489675544712836,0.46929282391489724,Josh Hart o8.5,C0
Peyton Watson,PTS,1.9803921568627447,0.75257689035122,DEN,MIA,6.5,10.333651453256609,5.616074213584045,29.0,0.504950495049505,0.4718423169750604,0.5049504950495051,0.24762639530171493,0.49039737108770987,Peyton Watson o6.5,C0
