Player,Market,OverDecimal,POverModel,Team,Opponent,Line,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u,label
Nickeil Alexander-Walker,PTS,1.8771929824561404,0.7432938285974284,ATL,@UTA,17.5,21.845592498779297,6.649378969212552,32.0,0.5327102803738317,0.5,0.5327102803738317,0.2105835482235967,0.3953059589460499,Nickeil Alexander-Walker o17.5
De'Andre Hunter,AST,2.17,0.6640167854664853,CLE,TOR,2.5,3.353832247853279,2.016367337179715,30.2,0.4608294930875576,0.4318405930157434,0.4608294930875576,0.20318729237892774,0.4409164244622732,De'Andre Hunter o2.5
Kyle Filipowski,AST,1.7407407407407407,0.7715836782127836,UTA,ATL,1.5,2.569213116168976,1.436974466242918,20.6,0.574468085106383,0.5346534653465347,0.574468085106383,0.1971155931064006,0.34312714355558627,Kyle Filipowski o1.5
Brandon Ingram,PTS,1.9090909090909087,0.7146603810402026,TOR,@CLE,19.5,23.48681312799454,7.0307786787859445,34.2,0.5238095238095238,0.4917965545529122,0.523809523809524,0.19085085723067863,0.36435163653129554,Brandon Ingram o19.5
Pascal Siakam,AST,1.6896551724137931,0.7808794452063177,IND,@PHX,4.5,6.358936429023743,2.3981115473640817,35.0,0.5918367346938775,0.5481788842784694,0.5918367346938775,0.18904271051244015,0.31941699362446785,Pascal Siakam o4.5
Svi Mykhailiuk,PTS,1.7692307692307692,0.7530548771491575,UTA,ATL,8.5,12.306959748268127,5.564636506721777,28.0,0.5652173913043478,0.5246062992125985,0.5652173913043479,0.18783748584480964,0.3323278595715864,Svi Mykhailiuk o8.5
Jalen Johnson,REB,2.05,0.6673738501271921,ATL,@UTA,8.5,9.91342526078224,3.266728096208679,33.8,0.4878048780487805,0.4554079696394686,0.48780487804878053,0.17956897207841155,0.3681163927607436,Jalen Johnson o8.5
Keyonte George,AST,1.72992700729927,0.7484032903096817,UTA,ATL,5.5,7.076593708992005,2.3549751956667846,33.6,0.5780590717299579,0.5411245353159851,0.5780590717299579,0.17034421857972382,0.29468306425835444,Keyonte George o5.5
Ben Sheppard,AST,2.55,0.5590399986739466,IND,@PHX,1.5,1.7322591245174408,1.5636584486508975,23.6,0.392156862745098,0.3666469544648137,0.3921568627450981,0.16688313592884851,0.4255519966185637,Ben Sheppard o1.5
Isaiah Jackson,PTS,2.0,0.6645621899940288,IND,@PHX,8.5,10.446889460086824,4.5814922805420775,22.0,0.5,0.4677419354838709,0.5,0.16456218999402883,0.32912437998805766,Isaiah Jackson o8.5
Gradey Dick,AST,2.3,0.5908668211120045,TOR,@CLE,0.5,0.7202790677547455,0.9586715439181775,14.4,0.4347826086956521,0.4059040590405904,0.4347826086956522,0.15608421241635229,0.35899368855761027,Gradey Dick o0.5
Brice Sensabaugh,AST,1.5,0.8218302908182428,UTA,ATL,0.5,1.276964545249939,0.8423633611686807,10.0,0.6666666666666666,0.625,0.6666666666666666,0.15516362415157614,0.23274543622736416,Brice Sensabaugh o0.5
Evan Mobley,AST,2.25,0.5987635846005985,CLE,TOR,4.5,5.065614554286003,2.2611188606248582,33.4,0.4444444444444444,0.4165029469548134,0.4444444444444444,0.1543191401561541,0.3472180653513467,Evan Mobley o4.5
