player,team,opponent,game_date,market,book,line,over_odds,under_odds
Royce O'Neale,PHX,LAC,2025-11-06,REB,hardrock,4.5,,
Ryan Dunn,PHX,LAC,2025-11-06,REB,hardrock,4.5,,
Brook Lopez,LAC,@PHX,2025-11-06,REB,hardrock,2.5,,
Oso Ighodaro,PHX,LAC,2025-11-06,REB,hardrock,3.5,,
Devin Booker,PHX,LAC,2025-11-06,AST,draftkings,7.5,-133.0,103.0
Chris Paul,LAC,@PHX,2025-11-06,AST,draftkings,6.5,101.0,-131.0
Collin Gillespie,PHX,LAC,2025-11-06,AST,draftkings,4.5,124.0,-161.0
Grayson Allen,PHX,LAC,2025-11-06,AST,draftkings,3.5,-155.0,119.0
Bradley Beal,LAC,@PHX,2025-11-06,AST,draftkings,3.5,115.0,-149.0
Jalen Green,PHX,LAC,2025-11-06,AST,draftkings,2.5,-133.0,103.0
Royce O'Neale,PHX,LAC,2025-11-06,AST,draftkings,2.5,-139.0,107.0
Ivica Zubac,LAC,@PHX,2025-11-06,AST,draftkings,2.5,-116.0,-112.0
Devin Booker,PHX,LAC,2025-11-06,AST,draftkings,7.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,AST,draftkings,2.5,,
Grayson Allen,PHX,LAC,2025-11-06,AST,draftkings,3.5,,
Bradley Beal,LAC,@PHX,2025-11-06,AST,draftkings,3.5,,
Jalen Green,PHX,LAC,2025-11-06,AST,draftkings,2.5,,
Collin Gillespie,PHX,LAC,2025-11-06,AST,draftkings,4.5,,
Royce O'Neale,PHX,LAC,2025-11-06,AST,draftkings,2.5,,
Chris Paul,LAC,@PHX,2025-11-06,AST,draftkings,6.5,,
Devin Booker,PHX,LAC,2025-11-06,AST,draftkings,7.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,AST,draftkings,2.5,,
Grayson Allen,PHX,LAC,2025-11-06,AST,draftkings,3.5,,
Bradley Beal,LAC,@PHX,2025-11-06,AST,draftkings,3.5,,
Jalen Green,PHX,LAC,2025-11-06,AST,draftkings,2.5,,
Collin Gillespie,PHX,LAC,2025-11-06,AST,draftkings,4.5,,
Royce O'Neale,PHX,LAC,2025-11-06,AST,draftkings,2.5,,
Chris Paul,LAC,@PHX,2025-11-06,AST,draftkings,6.5,,
Devin Booker,PHX,LAC,2025-11-06,AST,fanduel,7.5,-125.0,-106.0
Chris Paul,LAC,@PHX,2025-11-06,AST,fanduel,6.5,106.0,-140.0
Collin Gillespie,PHX,LAC,2025-11-06,AST,fanduel,4.5,134.0,-180.0
Grayson Allen,PHX,LAC,2025-11-06,AST,fanduel,3.5,-152.0,114.0
Bradley Beal,LAC,@PHX,2025-11-06,AST,fanduel,3.5,104.0,-138.0
Jalen Green,PHX,LAC,2025-11-06,AST,fanduel,2.5,-122.0,-108.0
Royce O'Neale,PHX,LAC,2025-11-06,AST,fanduel,2.5,-136.0,102.0
Ivica Zubac,LAC,@PHX,2025-11-06,AST,fanduel,2.5,-122.0,-108.0
Devin Booker,PHX,LAC,2025-11-06,AST,fanduel,7.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,AST,fanduel,2.5,,
Grayson Allen,PHX,LAC,2025-11-06,AST,fanduel,3.5,,
Bradley Beal,LAC,@PHX,2025-11-06,AST,fanduel,3.5,,
Jalen Green,PHX,LAC,2025-11-06,AST,fanduel,2.5,,
Collin Gillespie,PHX,LAC,2025-11-06,AST,fanduel,4.5,,
Royce O'Neale,PHX,LAC,2025-11-06,AST,fanduel,2.5,,
