Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
Q. Ellis,,8.7,62.03,65.32,7.509,0
B. Badio,,7.8,55.53,60.93,7.812,0
S. De Larrea,,6.2,57.75,58.99,9.515,0
T. Shorts,,12.0,55.71,58.47,4.873,0
K. Baldwin,,6.2,55.09,58.12,9.374,0
J. Grant,,8.5,53.39,55.66,6.548,0
Y. Ouattara,,5.7,45.77,50.62,8.88,0
J. Montero,,11.5,48.12,48.73,4.237,0
S. Jovic,,7.1,48.0,46.66,6.572,0
L. Vildoza,,8.4,42.38,43.44,5.172,0
T. Walkup,,9.1,43.46,41.72,4.584,0
J. Puerto,,5.9,43.27,41.53,7.039,0
D. Sirvydis,,6.6,38.99,38.87,5.889,0
N. Williams-goss,,9.3,64.18,36.86,3.964,0
J. Clark Iii,,7.2,34.45,35.8,4.972,0
K. Prepelic,,6.6,34.56,33.35,5.054,0
X. Rathan-mayes,,8.1,49.08,29.66,3.661,0
K. Simmons,,9.6,31.27,29.13,3.034,0
T. Carter,,8.3,28.89,28.54,3.439,0
S. Milton,,10.6,28.93,26.59,2.509,0
P. Dozier,,8.3,26.19,26.24,3.162,0
N. Laprovittola,,10.2,28.01,25.26,2.476,0
K. Kondic,,5.6,27.14,25.24,4.506,0
N. Nedovic,,6.3,25.01,23.83,3.783,0
D. Hackett,,5.3,25.64,23.16,4.371,0
N. Mannion,,5.7,23.47,22.41,3.931,0
E. Fournier,,9.7,20.73,21.28,2.194,0
L. Brown,,9.6,22.84,20.87,2.174,0
A. Feliz,,6.5,20.67,19.47,2.996,0
D. Brizuela,,5.6,19.66,19.39,3.462,0
S. Wilbekin,,8.4,38.51,18.39,2.189,0
S. Llull,,4.0,18.44,17.47,4.368,0
Y. Dos Santos,,5.1,17.01,16.6,3.254,0
A. Zagars,,6.3,17.03,15.0,2.381,0
J. Marcos,,4.3,16.36,14.87,3.457,0
J. Dibartolomeo,,5.6,17.05,14.56,2.601,0
S. Lee,,6.7,14.98,14.01,2.091,0
B. Ellis,,9.3,15.02,13.12,1.411,0
K. Mikalauskas,,4.0,14.18,11.84,2.96,0
J. Ayayi,,6.5,10.74,9.32,1.434,0
M. Rubstavicius,,5.4,10.79,9.2,1.703,0
M. Howard,,7.2,9.47,8.9,1.237,0
D. Kramer,,5.6,9.57,8.58,1.532,0
A. Atamna,,4.0,7.0,6.23,1.556,0
M. Ngouama,,4.0,6.49,6.2,1.551,0
S. Mckissic,,6.0,17.03,6.03,1.005,0
S. Miljenovic,,4.0,15.39,5.48,1.37,0
B. Boston Jr.,,9.6,6.43,5.32,0.555,0
T. Ennis,,8.2,4.58,3.9,0.476,0
B. Taylor,,6.7,9.81,3.89,0.581,0
T. Tarpey,,4.0,4.52,3.73,0.932,0
M. Mahmutoglu,,4.0,4.31,3.57,0.894,0
F. Ntilikina,,7.0,6.96,3.26,0.466,0
X. Lopez-arostegui,,6.9,3.39,2.82,0.409,0
S. Dinwiddie,,10.3,3.31,2.82,0.274,1
I. Nogues,,4.0,2.2,1.79,0.448,0
A. Lakic,,4.0,2.09,1.76,0.439,0
R. Beaubois,,5.9,1.29,0.42,0.071,0
V. Toliopoulos,,5.9,1.21,0.38,0.064,0
M. Bosnjakovic,,4.0,0.0,0.0,0.0,0
O. Radosic,,4.0,-0.01,0.0,0.0,0
N. Calathes,,5.3,-3.83,0.0,0.0,0
T. Armstrong,,7.6,-0.73,0.0,0.0,0
S. Tonut,,4.8,-0.05,0.0,0.0,0
J. Butler,,9.3,-4.35,0.0,0.0,0
R. Villar,,4.0,-3.16,0.0,0.0,0
S. Hazer,,4.0,-3.59,0.0,0.0,0
G. Larentzakis,,4.0,-3.54,0.0,0.0,0
M. Grigonis,,5.3,-4.68,0.0,0.0,0
J. Hollatz,,4.3,-3.76,0.0,0.0,1
G. Palatin,,4.0,-0.01,0.0,0.0,0
O. Netzipoglou,,4.0,-3.05,0.0,0.0,0
