Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
U. Garuba,F,,6.5,31.2,27.98,4.304,0,0,-2.67,-0.55,0.0,31.0,71.0,0.65,11.426
C. Frisch,F,,6.2,31.48,27.9,4.5,0,0,-3.02,-0.56,0.0,31.6,85.0,0.59,11.426
S. Milton,G,,10.6,28.93,26.59,2.509,0,0,-2.63,0.29,0.0,29.4,62.0,0.62,13.825
P. Dozier,G,,8.3,26.19,26.24,3.162,0,0,-0.21,0.26,0.0,26.2,106.0,1.09,13.825
N. Laprovittola,G,,10.2,28.01,25.26,2.476,0,0,-3.04,0.28,0.0,28.1,35.0,0.52,13.825
K. Kondic,G,,5.6,27.14,25.24,4.506,0,0,-2.18,0.27,0.0,27.1,63.0,0.68,13.825
B. Dunston,C,,5.9,27.98,24.12,4.088,0,0,-4.22,0.36,0.0,28.1,75.0,0.28,14.053
A. Peters,F,,8.5,25.55,23.99,2.823,0,0,-1.1,-0.45,0.0,25.5,100.0,0.89,11.426
N. Nedovic,G,,6.3,25.01,23.83,3.783,0,0,-1.43,0.25,0.0,25.1,89.0,0.81,13.825
A. Abalde,F,,5.1,25.64,23.18,4.545,1,0,-2.01,-0.45,0.0,25.7,105.0,0.69,11.426
D. Hackett,G,,5.3,25.64,23.16,4.371,0,0,-2.73,0.26,0.0,25.5,112.0,0.53,13.825
M. Cale,F,,5.7,25.58,23.08,4.049,0,0,-2.05,-0.45,0.0,25.6,142.0,0.68,11.426
A. Bacot Jr.,C,,8.7,24.62,22.92,2.634,0,0,-2.02,0.31,0.0,24.4,66.0,0.67,14.053
J. Voigtmann,C,,8.5,26.3,22.63,2.662,1,0,-4.01,0.34,0.0,26.4,28.0,0.27,14.053
N. Mannion,G,,5.7,23.47,22.41,3.931,0,0,-1.3,0.24,0.0,23.7,95.0,0.82,13.825
T. Ginat,F,,6.9,24.54,22.13,3.208,0,0,-1.97,-0.43,0.0,24.5,92.0,0.68,11.426
L. Cavaliere,F,,4.4,24.93,21.44,4.872,0,0,-3.05,-0.44,0.0,24.9,93.0,0.44,11.426
E. Fournier,G,,9.7,20.73,21.28,2.194,0,0,0.34,0.21,0.0,20.7,125.0,1.23,13.825
L. Brown,G,,9.6,22.84,20.87,2.174,0,0,-2.19,0.23,0.0,23.0,48.0,0.59,13.825
N. Rogkavopoulos,F,,6.7,22.83,20.0,2.984,0,0,-2.44,-0.4,0.0,23.2,60.0,0.53,11.426
A. Feliz,G,,6.5,20.67,19.47,2.996,0,0,-1.4,0.21,0.0,20.9,92.0,0.75,13.825
A. Diarra,C,,7.9,22.31,19.43,2.459,0,0,-3.16,0.28,0.0,22.5,35.0,0.33,14.053
D. Brizuela,G,,5.6,19.66,19.39,3.462,0,0,-0.47,0.2,0.0,19.4,89.0,1.0,13.825
S. Wilbekin,G,,8.4,38.51,18.39,2.189,0,1,-1.26,0.39,19.26,37.4,85.0,0.95,13.825
M. Norris,F,,7.8,20.75,17.77,2.278,0,0,-2.62,-0.37,0.0,20.9,56.0,0.42,11.426
S. Llull,G,,4.0,18.44,17.47,4.368,0,0,-1.15,0.19,0.0,18.2,94.0,0.78,13.825
R. Kurucs,F,,6.3,19.76,17.3,2.747,1,0,-2.11,-0.35,0.0,19.8,57.0,0.53,11.426
J. Anderson,F,,6.0,19.77,17.2,2.867,0,0,-2.21,-0.35,0.0,19.7,96.0,0.5,11.426
C. Swider,F,,7.6,19.81,17.2,2.264,0,0,-2.25,-0.35,0.0,19.1,42.0,0.49,11.426
K. Papanikolaou,F,,5.9,19.59,17.09,2.896,0,0,-2.16,-0.35,0.0,18.8,78.0,0.51,11.426
M. Birsen,F,,4.0,19.7,16.7,4.175,0,0,-2.66,-0.35,0.0,19.4,42.0,0.37,11.426
