Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
J. Clark Iii,,7.4,34.63,35.74,4.829,0
K. Prepelic,,6.9,35.1,33.63,4.873,1
K. Simmons,,9.3,31.22,28.86,3.103,0
T. Carter,,8.4,29.12,28.56,3.4,0
S. Milton,,10.5,29.11,26.55,2.529,0
P. Dozier,,8.4,26.19,26.06,3.102,0
N. Laprovittola,,10.2,28.12,25.15,2.466,0
K. Kondic,,5.8,27.19,25.09,4.326,0
N. Nedovic,,6.5,25.08,23.71,3.648,0
D. Hackett,,5.1,25.56,22.91,4.492,0
N. Mannion,,6.0,23.29,22.06,3.677,0
E. Fournier,,9.5,20.63,21.04,2.214,0
L. Brown,,9.7,23.0,20.86,2.15,0
A. Feliz,,6.3,20.65,19.31,3.065,0
D. Brizuela,,5.9,19.46,19.06,3.23,0
S. Wilbekin,,8.5,37.91,17.83,2.097,0
S. Llull,,4.0,18.27,17.18,4.294,0
Y. Dos Santos,,5.3,17.06,16.52,3.117,0
A. Zagars,,6.4,17.26,15.07,2.355,0
J. Marcos,,4.4,16.3,14.7,3.34,0
S. Mckissic,,6.1,17.2,14.57,2.388,0
S. Lee,,6.8,14.84,13.77,2.025,0
S. Miljenovic,,4.0,15.39,13.06,3.265,0
B. Ellis,,9.3,14.88,12.89,1.386,0
K. Mikalauskas,,4.0,14.36,11.89,2.971,0
J. Ayayi,,6.8,11.0,9.47,1.392,0
M. Rubstavicius,,5.6,10.97,9.27,1.656,0
M. Howard,,7.3,9.56,8.92,1.222,0
B. Taylor,,6.8,9.82,8.73,1.284,0
D. Kramer,,5.7,9.6,8.53,1.497,0
M. Ngouama,,4.2,6.65,6.32,1.504,0
A. Atamna,,4.0,7.12,6.28,1.571,0
J. Dibartolomeo,,5.1,17.12,5.94,1.165,0
B. Boston Jr.,,10.0,6.59,5.41,0.541,0
T. Ennis,,8.7,4.86,4.11,0.472,0
T. Tarpey,,4.0,4.65,3.8,0.95,0
M. Mahmutoglu,,4.0,4.36,3.58,0.896,0
F. Ntilikina,,7.0,7.21,3.33,0.475,0
S. Dinwiddie,,10.2,3.32,2.8,0.274,1
X. Lopez-arostegui,,7.0,3.34,2.76,0.394,0
I. Nogues,,4.0,2.26,1.83,0.457,0
A. Lakic,,4.0,2.14,1.78,0.445,0
R. Beaubois,,6.0,1.2,0.38,0.063,0
V. Toliopoulos,,6.0,1.1,0.33,0.056,0
T. Armstrong,,7.7,-0.56,0.0,0.0,0
R. Villar,,4.0,-3.38,0.0,0.0,0
S. Hazer,,4.3,-3.68,0.0,0.0,0
M. Bosnjakovic,,4.0,-0.02,0.0,0.0,0
J. Butler,,9.5,-4.35,0.0,0.0,0
O. Radosic,,4.0,-0.02,0.0,0.0,0
S. Tonut,,5.1,-0.02,0.0,0.0,0
M. Grigonis,,5.5,-5.02,0.0,0.0,0
O. Netzipoglou,,4.0,-3.28,0.0,0.0,0
G. Larentzakis,,4.0,-3.61,0.0,0.0,0
N. Calathes,,5.7,-4.04,0.0,0.0,0
G. Palatin,,4.0,-0.02,0.0,0.0,0
J. Hollatz,,4.0,-3.88,0.0,0.0,0
