Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Williams-goss,,9.6,64.54,36.42,3.793,0
J. Clark Iii,,7.7,34.55,35.55,4.617,0
K. Prepelic,,6.7,34.91,33.33,4.974,0
T. Carter,,8.6,29.49,28.83,3.352,0
K. Simmons,,9.1,31.07,28.62,3.145,0
Y. Ouattara,,5.6,45.74,27.26,4.868,0
S. Milton,,11.1,29.25,26.58,2.394,0
P. Dozier,,8.6,26.27,26.06,3.03,0
N. Laprovittola,,10.5,28.14,25.08,2.388,0
K. Kondic,,6.0,27.14,24.95,4.159,0
N. Nedovic,,6.6,25.09,23.64,3.582,0
D. Hackett,,5.3,25.6,22.86,4.313,0
N. Mannion,,6.0,23.61,22.29,3.715,0
L. Brown,,9.9,23.06,20.83,2.104,0
E. Fournier,,10.3,20.49,20.82,2.022,0
A. Feliz,,6.2,20.55,19.15,3.089,0
D. Brizuela,,6.1,19.23,18.76,3.076,0
S. Wilbekin,,8.7,38.04,17.77,2.042,0
S. Llull,,4.5,18.58,17.41,3.868,0
Y. Dos Santos,,5.7,17.12,16.53,2.9,0
A. Zagars,,6.6,17.29,15.04,2.278,0
J. Marcos,,4.9,16.25,14.6,2.979,0
S. Mckissic,,6.8,17.23,14.53,2.136,0
J. Dibartolomeo,,5.4,17.16,14.47,2.68,0
S. Lee,,7.2,14.94,13.82,1.919,0
S. Miljenovic,,4.4,15.4,13.01,2.958,0
B. Ellis,,9.8,14.93,12.88,1.315,0
K. Mikalauskas,,4.3,14.2,11.7,2.722,0
J. Ayayi,,6.6,10.98,9.42,1.427,0
M. Rubstavicius,,6.0,11.01,9.27,1.545,0
M. Howard,,7.8,9.88,9.18,1.177,0
B. Taylor,,7.0,9.93,8.79,1.256,0
D. Kramer,,5.9,9.82,8.69,1.474,0
F. Ntilikina,,7.2,7.11,6.82,0.947,0
M. Ngouama,,4.8,6.58,6.22,1.297,0
A. Atamna,,4.1,7.06,6.2,1.513,0
B. Boston Jr.,,11.3,6.57,5.37,0.475,0
T. Ennis,,8.6,4.77,4.02,0.467,0
T. Tarpey,,4.0,4.73,3.85,0.961,0
M. Mahmutoglu,,4.0,4.28,3.51,0.877,0
S. Dinwiddie,,10.0,3.31,2.78,0.278,1
X. Lopez-arostegui,,7.5,3.37,2.77,0.369,0
I. Nogues,,4.0,2.19,1.76,0.441,0
A. Lakic,,4.0,2.1,1.74,0.435,0
R. Beaubois,,6.2,1.2,0.38,0.061,0
V. Toliopoulos,,6.2,1.18,0.35,0.057,0
G. Palatin,,4.0,0.01,0.01,0.002,0
O. Radosic,,4.0,0.01,0.01,0.002,0
M. Bosnjakovic,,4.0,0.01,0.01,0.002,0
M. Grigonis,,5.7,-5.13,0.0,0.0,0
T. Armstrong,,7.9,-0.71,0.0,0.0,0
R. Villar,,4.1,-3.09,0.0,0.0,0
J. Butler,,9.4,-4.41,0.0,0.0,0
S. Tonut,,5.0,-0.09,0.0,0.0,0
S. Hazer,,4.6,-3.64,0.0,0.0,0
O. Netzipoglou,,4.0,-3.02,0.0,0.0,0
N. Calathes,,6.0,-3.98,0.0,0.0,0
G. Larentzakis,,4.1,-3.56,0.0,0.0,0
J. Hollatz,,4.1,-3.8,0.0,0.0,0
