Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
Z. Leday,,15.0,45.76,42.8,2.853,0
M. Jantunen,,7.5,43.21,41.94,5.592,1
A. Traore,,8.0,44.1,41.64,5.205,0
A. M'baye,,7.2,38.43,39.54,5.492,0
D. Hommes,,6.4,42.64,39.12,6.113,0
D. Davidovac,,4.9,38.96,35.13,7.169,0
E. Jackson,,4.3,34.33,32.9,7.651,0
N. Giffey,,5.2,33.7,31.82,6.119,0
M. Diakite,,8.3,34.22,31.4,3.784,0
D. Musa,,12.7,33.76,31.04,2.444,0
D. Alston Jr.,,7.7,32.18,30.5,3.961,1
C. Frisch,,6.8,31.62,28.35,4.169,0
U. Garuba,,7.0,31.08,28.19,4.027,0
A. Peters,,8.0,25.59,24.29,3.037,0
A. Abalde,,5.3,25.71,23.5,4.435,1
M. Cale,,6.1,25.64,23.39,3.835,0
T. Ginat,,7.2,24.55,22.4,3.111,0
L. Cavaliere,,4.7,24.83,21.6,4.596,0
V. Marinkovic,,6.4,42.09,20.56,3.212,0
N. Rogkavopoulos,,6.8,23.2,20.55,3.022,0
M. Norris,,8.8,20.53,17.79,2.022,0
R. Kurucs,,5.9,19.4,17.19,2.913,0
C. Swider,,8.6,19.25,16.92,1.967,0
K. Papanikolaou,,6.3,18.94,16.71,2.653,0
M. Birsen,,4.0,19.18,16.44,4.111,0
T. Biberovic,,6.2,15.06,15.36,2.478,1
M. Ajinca,,4.2,14.31,14.62,3.481,0
I. Brazdeikis,,6.7,15.01,13.16,1.965,0
N. Sestina,,4.7,13.56,12.1,2.575,0
A. Samodurov,,4.0,14.2,11.57,2.894,0
O. Dobric,,4.8,9.99,8.65,1.803,0
O. Bitim,,5.1,9.86,8.52,1.671,0
J. Anderson,,6.3,19.42,7.39,1.173,0
O. Diop,,4.3,6.5,5.22,1.213,0
S. Harrison,,6.1,14.06,4.98,0.816,0
E. Yilmaz,,4.0,5.65,4.6,1.15,0
P. Kalaitzakis,,4.0,10.1,3.25,0.814,0
G. Procida,,6.5,3.28,2.63,0.405,0
S. Joksimovic,,4.0,3.21,2.62,0.655,0
M. Muurinen,,5.6,1.13,0.9,0.162,0
G. Lavi,,5.8,1.02,0.81,0.14,0
U. Trifunovic,,6.1,1.01,0.81,0.132,0
N. Dangubic,,4.0,0.12,0.1,0.024,0
W. Rayman,,4.3,0.08,0.07,0.015,0
G. Grinvalds,,4.0,0.02,0.02,0.005,0
V. Hrabar,,4.0,0.02,0.02,0.005,0
N. Akele,,4.1,-0.51,0.0,0.0,0
I. Almansa,,5.5,-2.35,0.0,0.0,0
A. Abass,,5.2,-3.61,0.0,0.0,0
A. Pokusevski,,4.8,-4.97,0.0,0.0,0
