Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
L. Vildoza,,8.4,41.94,42.72,5.086,0
T. Walkup,,9.2,43.37,41.35,4.494,0
J. Puerto,,5.7,43.21,41.19,7.226,0
D. Sirvydis,,6.9,38.8,38.42,5.568,0
N. Williams-goss,,9.5,64.53,36.64,3.857,0
J. Clark Iii,,7.4,34.56,35.68,4.822,0
K. Prepelic,,7.0,35.04,33.59,4.799,1
K. Simmons,,9.1,31.21,28.87,3.173,0
T. Carter,,8.5,29.12,28.58,3.363,0
S. Milton,,10.7,29.09,26.55,2.481,0
P. Dozier,,8.5,26.2,26.08,3.069,0
N. Laprovittola,,10.4,28.11,25.17,2.42,0
K. Kondic,,5.9,27.18,25.1,4.255,0
N. Nedovic,,6.8,25.07,23.73,3.489,0
D. Hackett,,5.2,25.56,22.93,4.41,0
N. Mannion,,6.1,23.31,22.1,3.623,0
E. Fournier,,9.8,20.61,21.03,2.146,0
L. Brown,,9.8,23.0,20.87,2.13,0
A. Feliz,,5.8,20.62,19.29,3.326,0
D. Brizuela,,5.8,19.36,18.97,3.271,0
S. Wilbekin,,8.6,37.87,17.83,2.074,0
S. Llull,,4.2,18.23,17.16,4.085,0
Y. Dos Santos,,5.5,17.07,16.55,3.008,0
A. Zagars,,6.5,17.27,15.09,2.322,0
J. Marcos,,4.6,16.31,14.71,3.198,0
S. Mckissic,,6.4,17.19,14.57,2.277,0
S. Lee,,7.2,14.83,13.77,1.913,0
S. Miljenovic,,4.1,15.39,13.07,3.188,0
B. Ellis,,9.4,14.87,12.89,1.371,0
K. Mikalauskas,,4.0,14.34,11.88,2.969,0
J. Ayayi,,6.7,11.0,9.48,1.415,0
M. Rubstavicius,,5.7,10.98,9.29,1.629,0
M. Howard,,7.6,9.58,8.95,1.177,0
B. Taylor,,6.9,9.84,8.76,1.269,0
D. Kramer,,5.8,9.61,8.55,1.474,0
M. Ngouama,,4.5,6.66,6.33,1.406,0
A. Atamna,,4.0,7.14,6.3,1.576,0
J. Dibartolomeo,,5.2,17.12,5.95,1.145,0
B. Boston Jr.,,10.6,6.59,5.42,0.511,0
T. Ennis,,8.8,4.85,4.1,0.466,0
T. Tarpey,,4.2,4.66,3.81,0.907,0
M. Mahmutoglu,,4.0,4.37,3.59,0.898,0
F. Ntilikina,,7.1,7.21,3.33,0.469,0
S. Dinwiddie,,10.4,3.31,2.79,0.269,1
X. Lopez-arostegui,,7.1,3.34,2.76,0.388,0
I. Nogues,,4.0,2.24,1.82,0.455,0
A. Lakic,,4.0,2.11,1.76,0.441,0
R. Beaubois,,6.1,1.2,0.38,0.062,0
V. Toliopoulos,,6.1,1.09,0.33,0.054,0
T. Armstrong,,7.8,-0.55,0.0,0.0,0
M. Grigonis,,5.6,-5.02,0.0,0.0,0
R. Villar,,4.0,-3.38,0.0,0.0,0
M. Bosnjakovic,,4.0,-0.02,0.0,0.0,0
J. Butler,,9.2,-4.36,0.0,0.0,0
S. Hazer,,4.4,-3.67,0.0,0.0,0
S. Tonut,,5.0,-0.04,0.0,0.0,0
O. Radosic,,4.0,-0.02,0.0,0.0,0
N. Calathes,,6.0,-4.02,0.0,0.0,0
O. Netzipoglou,,4.0,-3.28,0.0,0.0,0
G. Larentzakis,,4.0,-3.61,0.0,0.0,0
G. Palatin,,4.0,-0.02,0.0,0.0,0
J. Hollatz,,4.0,-3.88,0.0,0.0,0
